기관명,계약번호,계약명,계약일,계약금액,계약상대자,키워드
동해광희중학교,2026K100000768340003,(s2b)AI 디지털 선도학교 운영을 위한 에듀테크 구입(젭),2026-04-06,,,에듀테크
용암초등학교,2026K100002366250140,[원인] 2026년 디지털 기반 학생 맞춤형 에듀테크(영어신문) 구독,2026-04-06,,,에듀테크
동해광희중학교,2026K100000768350005,AI·디지털 선도학교 운영을 위한 에듀테크 구입(체더스),2026-04-03,,,에듀테크
대관령초등학교,2026K100002062250042,(S2B) AI 및 에듀테크 서비스 라이센스(테OO교육) 구입비 지급,2026-04-03,,,에듀테크
북평고등학교,2026K100000419250093,[S2B] AI·디지털 활용 선도학교 AI·에듀테크 구독 프로그램 구입,2026-04-03,,,에듀테크
동해중학교,2026K100000770250065,AI디지털활용선도학교 에듀테크 구독료 지급,2026-04-02,,,에듀테크
강릉문성고등학교,2026K100000357250060,2026학년도 AI·디지털 활용 에듀테크 구입비 지급(보),2026-04-02,,,에듀테크
대관령초등학교,2026K100002062250030,(S2B) AI 및 에듀테크 서비스 라이센스(밀OO) 구입비 지급,2026-04-02,,,에듀테크
우산초등학교,2026K100001375250076,[S2B]디지털 선도학교 코스웨어 및 에듀테크 구독료 지급,2026-04-01,,,에듀테크
양구초등학교,2026K100001108250098,[S2B] 보편적 학습설계 수업 운영 에듀테크 구독,2026-04-01,,,에듀테크
북평여자고등학교,2026K100000421240010,AI·디지털활용 선도학교 교사 수업용 플랫폼 및 에듀테크 구독권 구입(s2b),2026-03-31,,,에듀테크
북평여자고등학교,2026K100000421250077,AI·디지털활용 선도학교 교사 수업용 에듀테크(클리포) 구독권 구입,2026-03-31,,,에듀테크
북평여자고등학교,2026K100000421250080,AI·디지털활용 선도학교 교사 수업용 에듀테크(왓퀴즈) 구독권 구입,2026-03-31,,,에듀테크
북평여자고등학교,2026K100000421250079,AI·디지털활용 선도학교 교사 수업용 플랫폼 및 에듀테크(패들렛 스쿨) 구독권 구입,2026-03-31,,,에듀테크
섬강초등학교,2026K100003975250138,AI디지털 활용 선도학교 운영 에듀테크(AI마타수학) 구입,2026-03-31,,,에듀테크
용암초등학교,2026K100002366250097,[카드] 영어 디지털에듀테크 구독료 결제,2026-03-30,,,에듀테크
동해중학교,2026K100000770250055,AI디지털활용선도학교 에듀테크 구독료 지급,2026-03-30,,,에듀테크
동해삼육고등학교,2026K100000401250069,디지털기반교육혁신선도학교 에듀테크 프로그램 이용료 지급,2026-03-30,,,에듀테크
섬강초등학교,2026K100003975250129,AI디지털 활용 선도학교 운영 에듀테크(AI코스웨어프로그램외 3건) 이용권 구입,2026-03-27,,,에듀테크
