계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
2024090372140,물품,"자유초 AI코스웨어(클래스팅AI)소프트웨어 이용권 구매계약(사회,수학)",2024-09-24,2710400,경기도교육청 경기도파주교육지원청 자유초등학교,자유초등학교,7681162,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090B3BB_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090405072,물품,2024년 인공지능교육 활성화 운영을 위한 플로우 협업툴 구입,2024-09-20,20000000,충청남도교육청 천안두정고등학교,천안두정고등학교,8140213,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090CBAC_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090405733,물품,AI교실 구축 및 고교학점제 공간조성 기자재 구입 계약,2024-09-23,18865000,전라남도교육청 부영여자고등학교,부영여자고등학교,7140166,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090CD44_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090406322,물품,정보교실 에듀테크 가구 구매,2024-09-27,3870000,경기도교육청 경기도안산교육지원청 성안중학교,성안중학교,7611028,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090CE84_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090429608,물품,2024학년도 IoT 전기부 기자재(AI자율주행 실험장치)구입 소액수의 공고,2024-09-24,15760000,부산광역시교육청 경성전자고등학교,경성전자고등학교,7150429,고등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090D336_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090430661,물품,2024학년도 재능고 AI헬스케어학과 기자재(버츄얼메이트 외 2종) 구입,2024-09-24,31120000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090D3E5_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090445756,물품,2024년 새빛초등학교 꿈나래도서관 정기간행물 구독,2024-09-25,1183200,경기도교육청 경기도용인교육지원청 새빛초등학교,새빛초등학교,7751313,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090DF5D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090447500,물품,2024학년도 IoT 전기부 기자재(AI자율주행 실험장치)구입 소액수의 공고,2024-09-24,15760000,부산광역시교육청 경성전자고등학교,경성전자고등학교,7150429,고등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090D336_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090468469,물품,"2024학년도 5,6학년 코딩교육 교구 구입",2024-09-25,6800000,경기도교육청 경기도광명교육지원청 연서초등학교,연서초등학교,7591028,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090E518_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090476828,물품,기성초등학교 밀리의 서재 구독권 구입(에듀테크),2024-10-07,8408070,경상남도거제교육청 기성초등학교,기성초등학교,9111011,초등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090EC63_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090514735,물품,SW·AI 분야 특화 교육과정 운영을 위한 교육재료 구입 건,2024-09-26,12180000,서울특별시교육청 한성과학고등학교,한성과학고등학교,7010115,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090FB1B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090560234,물품,송수초등학교 AI 코스웨어 마타수학 이용권,2024-09-27,21780000,부산광역시교육청 부산광역시해운대교육청 송수초등학교,송수초등학교,7211093,초등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240910B3F_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090565032,물품,명인초등학교 청개구리 클래스 AI로봇 체험 물품 2차 구매 계약,2024-09-30,4176000,경기도교육청 경기도수원교육지원청 명인초등학교,명인초등학교,7541137,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240910FF9_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090570628,물품,에듀테크 활용 3D 프린터 구매,2024-09-30,4015900,경기도안산교육청 안산호원초등학교,안산호원초등학교,7611032,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240911354_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090623322,물품,2024학년도 화성월문초 에듀테크 활용 교육(물품) 계약,2024-10-23,1782000,경기도교육청 경기도화성오산교육지원청 화성월문초등학교,화성월문초등학교,7679072,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240912341_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070002674,기술용역,2024학년도 1학년 고교학점제운영 인공지능캠프 체험 용역,2024-07-01,5005000,경기도교육청 하길고등학교,하길고등학교,7531241,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240700560_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
