기관명,계약명,계약일,계약금액,계약상대자,키워드
경북여자상업고등학교,휴먼아트커머스 수평공동체 에듀테크 구입,2024-05-03,339284,삼성카드주식회사,에듀테크
대구도림초등학교,(디지털선도학교)팅커벨 에듀테크 구입,2024-05-03,75000,(주)아이스크림미디어,에듀테크
계성중학교,교과형 수평공동체 수업 연구를 위한 에듀테크 프로그램 구입비 지출,2024-05-02,321600,주식회사 미리디,에듀테크
소선여자중학교,교실수업 개선 에듀테크 앱 구입,2024-05-01,1050000,테크빌교육(주),에듀테크
매호중학교,2024학년도 디지털 자유학기 연구학교 에듀테크 활용 수업 물품(마이크로 ...,2024-05-01,438900,(주)엔티렉스,에듀테크
대구욱수초등학교,2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 1~6학년 국어 미리캔...,2024-06-28,594510,미리디,에듀테크
대구테크노초등학교,(S2B)2024학년도 영어 에듀테크 SW(클래스카드) 구입비 지급,2024-06-28,2120000,엘위드,에듀테크
대구테크노초등학교,(S2B)2024학년도 AI 코스웨어 및 에듀테크 SW(어도비클라우드) 구입비 지급,2024-06-28,381000,아이티존(주),에듀테크
경암중학교,2024. 디지털 선도학교 에듀테크 구독형 SW(ChatGPT) 구입비 지급,2024-06-25,1363200,테크빌교육(주),에듀테크
경암중학교,2024. 디지털 선도학교 에듀테크 구독형 SW(Gamma) 구입비 지급,2024-06-25,649000,주식회사 모노플로우,에듀테크
왕선중학교,2024. 에듀테크 활용 프로그램(학습역량키움 프로그램) 구입,2024-06-25,4000000,주식회사 클래스팅,에듀테크
대구욱수초등학교,[s2b구입]2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 3~6학년 영어...,2024-06-24,4750000,제이로이,에듀테크
대구욱수초등학교,[카드]2024학년도 디지털 기반 교육혁신 선도학교 AI코스웨어 및 에듀테크 ...,2024-06-24,1499500,(주)아이스크림미디어,에듀테크
대구욱수초등학교,[s2b구입]2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 1~6학년 국어...,2024-06-24,2030000,제이로이,에듀테크
대구반야월초등학교,디지털 기반 에듀테크 앱 구입,2024-06-20,345000,주식회사 아이스크림미디어,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 음악교과 디지털활용 수업을 위한 에듀테크 ...,2024-06-19,49000,배수경,에듀테크
새론중학교,2024학년도 1학년 기술교과 에듀테크활용 프로그램 이용료 신청,2024-06-18,227700,(주)젠소프트,에듀테크
효성중학교,에듀테크 바우처를 이용한 교육용 SW 구입,2024-06-11,497900,에듀지원주식회사,에듀테크
대구세천초등학교,전반기 디지털 기반 교수학습 에듀테크 바우처 지원 사업 운영에 따른 고...,2024-06-10,20800,주식회사 지마켓,에듀테크
대구도림초등학교,(디지털선도학교)코드모스 에듀테크 구입,2024-06-05,9950000,주식회사 로지브라더스,에듀테크
대구한실초등학교,2024학년도 디지털 기반 교육혁신 선도학교 운영 AI 코스웨어(에듀테크) 구...,2024-06-05,5940000,(주)헬로소프트,에듀테크
대구세천초등학교,전반기 디지털 기반 교수학습 에듀테크 바우처 지원 사업 운영 물품(낚시...,2024-06-03,106040,주식회사 지마켓,에듀테크
대구성당초등학교,[카드]2024학년도 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 ...,2024-06-03,960000,주식회사 클래스카드,에듀테크
대구테크노초등학교,(S2B)디지털 기반 교육혁신 선도학교 에듀테크 SW 구입비 지급,2024-07-31,504000,제이로이,에듀테크
경화여자고등학교,디지털 선도학교 에듀테크 프로그램(ChatGTP Team) 구입,2024-07-23,2124289,OpenAI,에듀테크
부계중학교,[카드-8757]2024 학습 역량 키움 프로그램 운영을 위한 에듀테크 활용 프로 ...,2024-07-23,1120000,주식회사 클래스팅,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털활용 수업을 위한 에듀테크 구독,2024-07-19,34900,이동휘,에듀테크
대구칠성초등학교,2024. AI 기반 영어 학습 프로그램 운영을 위한 에듀테크 도구앱(Padlet) 구입,2024-07-17,129000,허정문,에듀테크
효성여자고등학교,동아리활동 에듀테크 활용 교육용 앱 구입비(ChatGPT 개인 월정),2024-07-17,217275,OPENAI,에듀테크
대구용계초등학교,[카드] 에듀테크 소프트웨어 구입을 위한 물품선정위원회 다과비 지출,2024-07-11,70500,더리버무브스,에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 구입(S2B),2024-07-11,459000,레이블랑,에듀테크
대구팔공중학교,(초등)동구청 교육경비사업 인공지능 에듀테크 체험의 날 행사 경비 지출,2024-07-09,1000000,주식회사 크레듀,에듀테크
대구팔공중학교,[보조금] (초등)동구청 교육경비사업 인공지능 에듀테크 체험의 날 행사 ...,2024-07-09,4600000,주식회사 크레듀,에듀테크
새론중학교,교과형(교과융합) 전문학습공동체 에듀테크활용 프로그램 이용료 신청,2024-07-05,9900,플루닛,에듀테크
성명여자중학교,[S2B]에듀테크 활용 교육용 소모품(코시 C타입 듀얼젠더외 4종) 구입 카드 ...,2024-07-05,177500,주식회사 에스인,에듀테크
대구도림초등학교,(디지털선도학교)팅커벨 에듀테크 추가 구입,2024-07-04,75000,(주)아이스크림미디어,에듀테크
대구옥포초등학교,2024학년도 에듀테크 활용 교육을 위한 프로그램 구입비 지급,2024-07-04,99000,이원경,에듀테크
대구봉덕초등학교,[카드]디지털 기반 교수학습 에듀테크 구입,2024-07-01,160800,미리캔버스,에듀테크
대곡고등학교,[원인행위] AIDT 도입 대비 고교 교육력 제고 사업 에듀테크SW 이용권(패들렛),2024-08-30,435000,엘위드,에듀테크
대곡고등학교,[원인행위] AIDT 도입 대비 고교 교육력 제고 사업 에듀테크SW 이용권(챗GPT),2024-08-30,1625000,나이스쿨,에듀테크
새론중학교,2024학년도 교과교실제 운영을 위한 에듀테크 프로그램 신청,2024-08-29,352000,(주)젠소프트,에듀테크
경암중학교,2024. 디지털 선도학교 에듀테크 구독형 SW(미리캔버스) 구입비 지급,2024-08-28,1376760,주식회사 미리디,에듀테크
성곡중학교,2024학년도 대구미래학교 운영을 위한 에듀테크 도구 구입비 지급,2024-08-28,270000,(주)아이스크림미디어,에듀테크
성곡중학교,2024학년도 대구미래학교 운영을 위한 에듀테크 도구 구입,2024-08-27,3237600,제이로이,에듀테크
경북여자상업고등학교,교육과정-수업-평가 설계·성찰 주간 운영을 위한 에듀테크 구입,2024-08-22,510000,(주)아이스크림미디어,에듀테크
오성중학교,2024 디지털 선도학교 운영 에듀테크 프로그램 구입,2024-08-21,1875000,제이로이,에듀테크
심인중학교,2024학년도 디지털 선도학교 에듀테크 및 AI 도구 용역비 지급,2024-08-19,1930000,주식회사 오늘배움,에듀테크
심인중학교,2024학년도 디지털 선도학교 에듀테크 및 AI 도구 용역비 지급(2),2024-08-19,750000,주식회사 오늘배움,에듀테크
효성여자고등학교,동아리활동 에듀테크 활용 교육용 앱 구입비(ChatGPT 개인 월정),2024-08-17,121480,OPENAI,에듀테크
새론중학교,2024학년도 1학년 기술교과 에듀테크 활용 프로그램 이용 신청,2024-08-13,132641,Padlet,에듀테크
