제품,앱이름,패키지,개발사,설치수,평점,리뷰수,일치도,확인일
AI 미디어아트 융합수업 플랫폼,,,,,,,,2026-08-13
AI 바이브 코딩 파이드림,,,,,,,,2026-08-13
AI 보이스_음성인식 기초,,,,,,,,2026-08-13
AI 브레인 문해력 학습 플랫폼,,,,,,,,2026-08-13
AI 삐리릭,,,,,,,,2026-08-13
AI 상담실 (MIND:ROOM),,,,,,,,2026-08-13
AI 소셜로봇 리쿠,,,,,,,,2026-08-13
AI 수시면접 코치,,,,,,,,2026-08-13
AI 쉐도우리딩(슈필라움),,,,,,,,2026-08-13
AI 스마트 놀이터 로로큐브,,,,,,,,2026-08-13
AI 스킬 업,,,,,,,,2026-08-13
AI 스포츠 박스,,,,,,,,2026-08-13
AI 스포츠 올인원 A 1.0,,,,,,,,2026-08-13
AI 스포츠 올인원 B 1.0,,,,,,,,2026-08-13
AI 아바타 코딩,,,,,,,,2026-08-13
AI 에듀 클래스,,,,,,,,2026-08-13
AI 에듀케어봇,,,,,,,,2026-08-13
AI 역사 인물 인터뷰,,,,,,,,2026-08-13
AI 영어 Literacy 평가 학습 솔루션 'AI 모비리드',,,,,,,,2026-08-13
AI 영어 지문 마스터,,,,,,,,2026-08-13
AI 온북,,,,,,,,2026-08-13
AI 웹앱 서비스(마이크로비트 연동),,,,,,,,2026-08-13
AI 유아돌봄 플랫폼,,,,,,,,2026-08-13
AI 윤리 탐정,AI 윤리 탐정,com.serenasis.aiethicsdetective,Changyong Son,100+,,,1.00,2026-08-13
AI 음성인식 - 푸리에 LAB [교재+SW 이용권],,,,,,,,2026-08-13
"AI 음악코딩 놀이, 허밍블럭스",,,,,,,,2026-08-13
AI 인강학습 도우미 GPTalk(지피톡),,,,,,,,2026-08-13
AI 인공지능 바둑·오목 로봇 센스로봇 GO,,,,,,,,2026-08-13
AI 자리배치 클래스메트리,,,,,,,,2026-08-13
AI 천체망원경 (베스페라),,,,,,,,2026-08-13
AI 초피티,,,,,,,,2026-08-13
AI 코딩과 전통 공연,,,,,,,,2026-08-13
AI 크래프트,,,,,,,,2026-08-13
AI 탐구 기록 제출,,,,,,,,2026-08-13
AI 탐사로봇 테크노시아 행성을 재건하라,,,,,,,,2026-08-13
AI 토리드론,,,,,,,,2026-08-13
AI 토핑독서,,,,,,,,2026-08-13
AI 패스파인더,,,,,,,,2026-08-13
AICE Associate,,,,,,,,2026-08-13
AIX-mate,,,,,,,,2026-08-13
AIoT 스마트시티 만들기 (홈/팜/주차장/모빌리티등),,,,,,,,2026-08-13
AI·디지털 교육자료 포털,,,,,,,,2026-08-13
AI기반 질문생성훈련 콘텐츠,,,,,,,,2026-08-13
AI로봇집게,,,,,,,,2026-08-13
AI매일수학,,,,,,,,2026-08-13
AI매직포유,,,,,,,,2026-08-13
AI문해력 진단/트레이닝 학습시스템 (AI SM-119),,,,,,,,2026-08-13
AI사장님 클래스,,,,,,,,2026-08-13
AI수시면접코치,,,,,,,,2026-08-13
AI스토리교실,,,,,,,,2026-08-13
AI스포츠박스,,,,,,,,2026-08-13
"AI시대 미래역량 검사, 디큐",,,,,,,,2026-08-13
AI잇플레이와 사회정서학습 [교재+키트],,,,,,,,2026-08-13
AI최적요리사 - 떡볶이 대결,,,,,,,,2026-08-13
AI포니봇(마이크로비트 기반),,,,,,,,2026-08-13
AI학교생활기록부,AI학교생활기록부,com.supercom.stucare.schoollife,스투케어,1천+,5.00,11,1.00,2026-08-13
AI헬피챗,,,,,,,,2026-08-13
AI활용HR전문가,,,,,,,,2026-08-13
ALC 학습분석 스테이션 v2,,,,,,,,2026-08-13
AR 빛 실험실,AR 빛 실험실,kr.co.coin7.ARLab,Studio COIN Corp.,10만+,1.82,1170,1.00,2026-08-13
AR 핑거스토리,,,,,,,,2026-08-13
AREX CLIMB,,,,,,,,2026-08-13
AR창의융합영어미술 아토리,,,,,,,,2026-08-13
"AR책카드, XR책놀이, VR로 떠나는 토론 캠프",,,,,,,,2026-08-13
AR태양계행성학습카드 / 미래과학 AR,,,,,,,,2026-08-13
Abled PingPong Robot,,,,,,,,2026-08-13
Abled pingpong App,,,,,,,,2026-08-13
Ableton Live 12,,,,,,,,2026-08-13
Adobe Creative Cloud All apps,,,,,,,,2026-08-13
Agency Workspace,,,,,,,,2026-08-13
Agisoft Metashape / 3D모델링 및 드론항공지도(정사영상)제작,,,,,,,,2026-08-13
AhaSlides,,,,,,,,2026-08-13
"AiSAC (아이작, AI 광고창작 지원 서비스)",,,,,,,,2026-08-13
Aivy(에이비) 창의 서비스 제작 플랫폼,,,,,,,,2026-08-13
Alan (Alan for Education),,,,,,,,2026-08-13
Algodoo,,,,,,,,2026-08-13
AllBody (AI 체력측정 & 체력향상),,,,,,,,2026-08-13
AllviA,AllviA CL,com.masterv.prod,"VISANG Education, Inc.",10+,,,0.83,2026-08-13
Ally Class,,,,,,,,2026-08-13
Alphalyzer(알파라이저),,,,,,,,2026-08-13
"Amplify Classroom, Polypad, Mathigon",,,,,,,,2026-08-13
Animal Typing 동물 타자연습,,,,,,,,2026-08-13
"Apple School Manager, 교실 앱(Classroom), 스쿨워크(Schoolwork)",,,,,,,,2026-08-13
ArcGIS Online,,,,,,,,2026-08-13
Arkain,,,,,,,,2026-08-13
Arpe,Arpe : AI Music Education,com.flatmusic.musicedu,FlatMusic,10+,,,0.27,2026-08-13
Artsteps,Artstep Student-Manage Classes,com.Shinedata.ArtStepParent,Ronyi Limited,500+,,,0.44,2026-08-13
BEEP,BEEP - 유통기한 관리,com.bgpworks.beep,"BGPworks, Inc.",50만+,3.56,1896,0.50,2026-08-13
BFStudy(비에프스터디),,,,,,,,2026-08-13
BIKO,BIKO Membership,id.member.biko,PT. Biko Indonesia,5천+,,,0.38,2026-08-13
BLSN 수능모의고사,,,,,,,,2026-08-13
BLhigh 성적처리,,,,,,,,2026-08-13
BLjung 성적처리,,,,,,,,2026-08-13
BSD,,,,,,,,2026-08-13
BSL Education,,,,,,,,2026-08-13
BTF푸른나무재단,,,,,,,,2026-08-13
Baamboozle+,,,,,,,,2026-08-13
Be log (비로그),,,,,,,,2026-08-13
Blender,Blender Camera Controller,com.wpm.blender_camera_controller,Wanderson.3D,5천+,,,0.48,2026-08-13
Brainingcamp,,,,,,,,2026-08-13
Breakout EDU,,,,,,,,2026-08-13
CCT 진로역량검사,,,,,,,,2026-08-13
CIMCO EDIT / NC코드 검증용,,,,,,,,2026-08-13
CK-12 Foundation,,,,,,,,2026-08-13
CKPASS,,,,,,,,2026-08-13
CPR Plus,CPRplus- 심폐소생술 cprCUBE 앱,com.imlabworld.cpr_plus,I.M.LAB,1천+,,,0.52,2026-08-13
ChatGPT Enterprise/Edu,,,,,,,,2026-08-13
Citizens,,,,,,,,2026-08-13
Class i,,,,,,,,2026-08-13
Class1234 & ClassPay,,,,,,,,2026-08-13
Class2Class.org,,,,,,,,2026-08-13
ClassCEO(클래스CEO),,,,,,,,2026-08-13
ClassFin(클래스핀),,,,,,,,2026-08-13
ClassLive(클래스 라이브),,,,,,,,2026-08-13
ClassMana,,,,,,,,2026-08-13
ClassPoint,,,,,,,,2026-08-13
Classkick,,,,,,,,2026-08-13
Classwork.com,,,,,,,,2026-08-13
ClearScanner,,,,,,,,2026-08-13
Clip2Comic,,,,,,,,2026-08-13
"CodeCombat, Ozaria, CodeCombat Jr., AL Hackstack",,,,,,,,2026-08-13
CodeHub(코드헙),,,,,,,,2026-08-13
CodeUp Class(코드업 클래스),,,,,,,,2026-08-13
Coggle,,,,,,,,2026-08-13
"Compute it, Little Dot Adventure, Silent Teacher",,,,,,,,2026-08-13
Craft Docs,"Craft: Docs, Tasks & AI",com.craft.docs,Craft Docs,1만+,,,0.67,2026-08-13
DBT(식행동 검사),,,,,,,,2026-08-13
DIT(식생활 섭취 검사),,,,,,,,2026-08-13
DIY 종이드론 교육 키트,,,,,,,,2026-08-13
DIY 캐릭터 종이코딩드론,,,,,,,,2026-08-13
DIYGO 시리즈,,,,,,,,2026-08-13
DRM AI 엑셀 추가 기능,,,,,,,,2026-08-13
DST(식생활 스크리닝 검사),,,,,,,,2026-08-13
Devth,,,,,,,,2026-08-13
"Discovery Education Experience, Science Techbook, Pivot Interactives, Reading Plus",,,,,,,,2026-08-13
Drawboard PDF,Drawboard PDF - Pro,com.drawboard.pdf,Drawboard,10만+,1.96,1184,0.88,2026-08-13
DroneBlocks Enterprise Membership,,,,,,,,2026-08-13
EBS AI 단추플러스,,,,,,,,2026-08-13
EBS AI 단추플러스 (https://ai-plus.ebs.co.kr),,,,,,,,2026-08-13
EBS Play (APP 서비스),,,,,,,,2026-08-13
EBS eBook (APP 서비스),,,,,,,,2026-08-13
EBS 고교강의 (APP 서비스),,,,,,,,2026-08-13
EBS 고교강의 웹사이트 (https://www.ebsi.co.kr),,,,,,,,2026-08-13
EBS 교재사이트 및 EBS eBook APP 서비스,,,,,,,,2026-08-13
EBS 구독서비스 웹사이트 (https://www.ebs.co.kr/package),,,,,,,,2026-08-13
EBS 반디 (APP 서비스),,,,,,,,2026-08-13
EBS 북스토리 웹사이트 (https://book.ebs.co.kr),,,,,,,,2026-08-13
EBS 장애인 서비스 (https://www.ebs.co.kr/free),,,,,,,,2026-08-13
EBS 중학 프리미엄 웹사이트 (https://mid.ebs.co.kr),,,,,,,,2026-08-13
EBS 중학ㆍ중학 프리미엄 (APP 서비스),,,,,,,,2026-08-13
EBS 직업,EBS 직업,kr.ebs.main.player,EBS(한국교육방송공사),10만+,2.51,171,1.00,2026-08-13
EBS 진로탐색검사,,,,,,,,2026-08-13
EBS 초등,EBS 초등,kr.ebs.primary.player,EBS(한국교육방송공사),100만+,3.91,10751,1.00,2026-08-13
EBS 표준화 심리검사,,,,,,,,2026-08-13
EBSMath,EBSMath,kr.co.ebs.ebsmath,EBS(한국교육방송공사),10만+,3.41,218,1.00,2026-08-13
EBSMath 웹사이트 (https://www.ebsmath.co.kr),,,,,,,,2026-08-13
EBSe 웹사이트 (https://www.ebse.co.kr),,,,,,,,2026-08-13
EBSi (EBS 고교강의 사이트),,,,,,,,2026-08-13
EBS이솦 웹사이트 (https://www.ebssw.kr/),,,,,,,,2026-08-13
ELECTION MANAGER 전자선거/전자투표시스템,,,,,,,,2026-08-13
EP 로그,,,,,,,,2026-08-13
EPAPS,ePAPS,kr.epaps.exercise,"COMPLEXION Co., Ltd.",5천+,2.83,12,1.00,2026-08-13
ERS v1.0,,,,,,,,2026-08-13
ERS-i v1.0,,,,,,,,2026-08-13
ESharePro,,,,,,,,2026-08-13
ET-Craft (AI 영어 문항 생성기),,,,,,,,2026-08-13
ET-Craft (AI 영어문항 생성기),,,,,,,,2026-08-13
EdgeCAM / CAM소프트웨어,,,,,,,,2026-08-13
Edium,Medium,com.medium.reader,A Medium Corporation,"1,000만+",4.78,511933,0.89,2026-08-13
EduEnuSpace,,,,,,,,2026-08-13
Educaplay,,,,,,,,2026-08-13
Epic School,,,,,,,,2026-08-13
Excalidraw & Excalidraw+,,,,,,,,2026-08-13
Explain Everything,Explain Everything Whiteboard,com.explaineverything.explaineverything,Promethean Limited,50만+,4.02,3983,0.77,2026-08-13
FOX vClass,FOX vClass,com.foxcom.vcxclient,(주)폭스커뮤니케이션,10+,,,1.00,2026-08-13
Fender Studio Pro,Fender Studio Pro Remote,com.presonus.dawremote,Fender Musical Instruments Corporation,10만+,3.88,1558,0.82,2026-08-13
"Final Cut Pro, Logic Pro, Pixelmator Pro",,,,,,,,2026-08-13
Finclass(핀클래스),,,,,,,,2026-08-13
Flat for Education,,,,,,,,2026-08-13
FlexClip,(Flexclip) Video App Advice,com.abrij.fis.wall.beauty.full,NoTion Euphoria,10만+,,,0.52,2026-08-13
Flint,FLINT - 운동 타이머·기록·랭킹,com.imwins.tick_app,aeonarc,50+,,,0.47,2026-08-13
FlipHTML5,FlipHTML5 - eBook Maker,com.wancai.app.fliphtml5,WONDER IDEA,10만+,,,0.62,2026-08-13
Foreducator(포에듀케이터),,,,,,,,2026-08-13
"Free VIA Adult and Youth Survey, and Top 5, Total 24 & Youth Reports",,,,,,,,2026-08-13
"Freeform, GarageBand, iMoive, Reality Composer, Swift Playground",,,,,,,,2026-08-13
Fusion360 with 아두이노 실전편,,,,,,,,2026-08-13
FusionSnow Suite,,,,,,,,2026-08-13
G-레이서,,,,,,,,2026-08-13
GCompris,GCompris Educational Game,net.gcompris.full,Timothée Giet,100만+,,,0.48,2026-08-13
GS-LLM(지에스 엘엘엠）,,,,,,,,2026-08-13
GT_DESIGNER3,,,,,,,,2026-08-13
GX-WORKS 2,,,,,,,,2026-08-13
GX-WORKS 3,,,,,,,,2026-08-13
GXLearning,,,,,,,,2026-08-13
Generation Genius,,,,,,,,2026-08-13
GeoGebra software/apps,,,,,,,,2026-08-13
Geomagic DesignX and Freeform,,,,,,,,2026-08-13
Goodnotes(Goodnotes Education),,,,,,,,2026-08-13
G큐브-핑퐁로봇,,,,,,,,2026-08-13
HELP! 전자공학 아두이노 실습 키트,,,,,,,,2026-08-13
HHIPS-PAPS자동화 솔루션,,,,,,,,2026-08-13
HHIPS-TeamUp 사이클릴레이,,,,,,,,2026-08-13
HHIPS-성장예측솔루션,,,,,,,,2026-08-13
HHIPS-양치기록솔루션,,,,,,,,2026-08-13
HMH All products,,,,,,,,2026-08-13
Hamster Soccer - 햄스터 축구 조이스틱,Hamster Soccer - 햄스터 축구 조이스틱,com.robomation.hamster_controller_app,(주)로보메이션,500+,,,1.00,2026-08-13
Hamster Soccer- 햄스터  축구 조이스틱,Hamster Soccer - 햄스터 축구 조이스틱,com.robomation.hamster_controller_app,(주)로보메이션,500+,,,1.00,2026-08-13
Heinemann All products,,,,,,,,2026-08-13
HelloTalk,HelloTalk 헬로톡 - 영어 일본어 공부&언어교환,com.hellotalk,HelloTalk Learn Languages App,"1,000만+",3.49,236118,0.52,2026-08-13
"Hey, HECTO",,,,,,,,2026-08-13
Home Planner,,,,,,,,2026-08-13
Hyper3D,Hyper3d: Ai App Guia,com.wallpa.garden.mnf,BENALU,500+,,,0.60,2026-08-13
IB탐험대,,,,,,,,2026-08-13
ICQA 모의고사 예제 프로그램,,,,,,,,2026-08-13
ICQA 실기시험 프로그램,,,,,,,,2026-08-13
ICQA 실습용 에뮬레이터,,,,,,,,2026-08-13
IFAS GFAT & 맞춤형진로탐색 프로그램,,,,,,,,2026-08-13
INFODASH,,,,,,,,2026-08-13
IP아카데미(국가지식재산교육포털),,,,,,,,2026-08-13
ISHS01,,,,,,,,2026-08-13
IoT 플랫폼 서비스,,,,,,,,2026-08-13
JCT  기초적성검사,,,,,,,,2026-08-13
JCT 인성역량검사,,,,,,,,2026-08-13
JCT 직무적성검사,,,,,,,,2026-08-13
JINNY,JINNY20,com.yijiahe.robotapp,"BIB Robotics Co.,Ltd.",500+,,,0.80,2026-08-13
Jamovi Cloud,,,,,,,,2026-08-13
Jamovi Desktop,,,,,,,,2026-08-13
Jigsaw Explorer,Jigsaw Explorer: Puzzle Game,jigsaw.puzzle.relax.free.game,Topy Games,50만+,4.84,5420,0.72,2026-08-13
Jinu e-note,,,,,,,,2026-08-13
JoVE,"JOVEE - Match, IRL Dating",com.jovee.app,Pluto Creative Labs LTD,5천+,,,0.30,2026-08-13
K-공학스쿨,,,,,,,,2026-08-13
K-오픈배지,,,,,,,,2026-08-13
K1-(만4세) 놀이공원에 왔어요!,,,,,,,,2026-08-13
K1-(만4세) 디코 프렌즈 맵,,,,,,,,2026-08-13
K1-(만4세) 반복(1)과 아이템 가져오기,,,,,,,,2026-08-13
K1-(만4세) 봄이 왔어요!,,,,,,,,2026-08-13
K1-(만4세) 실생활 알고리즘(잼 토스트),,,,,,,,2026-08-13
K1-(만4세) 실생활 알고리즘(치카치카),,,,,,,,2026-08-13
K1-(만4세) 아티스트 선 그리기(1),,,,,,,,2026-08-13
K1-(만4세) 아티스트 선 그리기(2),,,,,,,,2026-08-13
K1-(만4세) 우리반에 디코가 찾아왔어요!,,,,,,,,2026-08-13
K2-(만5세) 도시 놀이 게임,,,,,,,,2026-08-13
K2-(만5세) 도장 찍기 놀이,,,,,,,,2026-08-13
K2-(만5세) 디코 DDR 리듬 게임,,,,,,,,2026-08-13
K2-(만5세) 디코 댄스 파티,,,,,,,,2026-08-13
K2-(만5세) 디코 두더지 게임,,,,,,,,2026-08-13
K2-(만5세) 디코 신디사이저,,,,,,,,2026-08-13
K2-(만5세) 상상의 문을 열어라,,,,,,,,2026-08-13
K2-(만5세) 우리 동네 택배 아저씨,,,,,,,,2026-08-13
K2-(만5세) 우주 괴물 슈팅 게임,,,,,,,,2026-08-13
K2-(만5세) 우주 탐험가 디코,,,,,,,,2026-08-13
K2-(만5세) 좋은 에너지 먹기,,,,,,,,2026-08-13
KB국민은행 KB굿잡 창구사무 전산실습 프로그램,,,,,,,,2026-08-13
KIS-PTZ v1.0,,,,,,,,2026-08-13
KIS-PZ120 v1.0,,,,,,,,2026-08-13
KIS-VR1010,,,,,,,,2026-08-13
KISVR-FE,,,,,,,,2026-08-13
KISVR-TV,,,,,,,,2026-08-13
KOISTUDY(코이스터디),,,,,,,,2026-08-13
KREDI 독서능력진단검사,,,,,,,,2026-08-13
KSD300 조립드론,,,,,,,,2026-08-13
KT AI Codiny,,,,,,,,2026-08-13
KT AI Studio,,,,,,,,2026-08-13
KT 비즈메카EZ,,,,,,,,2026-08-13
"Keynote, Numbers, Pages",,,,,,,,2026-08-13
Kialo Edu,,,,,,,,2026-08-13
Klangio Suite,,,,,,,,2026-08-13
Kognity Teaching & Learning Platform,,,,,,,,2026-08-13
LAT 생활적응검사,,,,,,,,2026-08-13
LCSI 성격검사,,,,,,,,2026-08-13
LCT 학습역량검사,,,,,,,,2026-08-13
LITHO MASKLESS,,,,,,,,2026-08-13
Learn X (런엑스),,,,,,,,2026-08-13
LearningLemur,,,,,,,,2026-08-13
LingoClip,,,,,,,,2026-08-13
LiveWorksheets,,,,,,,,2026-08-13
Logger Pro™ 3,,,,,,,,2026-08-13
LoiLoNote School,LoiLoNote School,tv.loilo.loilonote_web,LoiLo Inc.,50만+,,,1.00,2026-08-13
LoroTOPIK,LoroTOPIK - 한국어 능력시험 로로토픽,net.e4net.lorotopik,E4NET,100+,,,0.59,2026-08-13
Lyrics Into Song AI,,,,,,,,2026-08-13
LyricsTraining,,,,,,,,2026-08-13
M-AI 파이썬코딩,,,,,,,,2026-08-13
MARU(마루),,,,,,,,2026-08-13
MECA,MECA Finance,com.imbu.mecafinance,Allen Baiyee,10+,,,0.46,2026-08-13
MET 계열탐색검사,,,,,,,,2026-08-13
METAWARE Edu School,METAWARE Edu School,com.globepoint.metaware.edu,GLOBEPOINT,500+,,,1.00,2026-08-13
MMS 마이미션스튜디오,,,,,,,,2026-08-13
MODI PLANET,,,,,,,,2026-08-13
MR Configurator2,,,,,,,,2026-08-13
MS.CBT,,,,,,,,2026-08-13
MS.OLP,,,,,,,,2026-08-13
MS.SIM,,,,,,,,2026-08-13
MS.SMT,,,,,,,,2026-08-13
MagicSchool,Magic School: Renovation,magic.school,4Enjoy Game,10만+,3.43,1697,0.67,2026-08-13
Mai-22AI,,,,,,,,2026-08-13
Mai-22AIW,,,,,,,,2026-08-13
Mai-22AIWR,,,,,,,,2026-08-13
Mai-22AIWS,,,,,,,,2026-08-13
Mai-22DW,,,,,,,,2026-08-13
Mai-22DWA,,,,,,,,2026-08-13
Mai-22STA,,,,,,,,2026-08-13
Mai-270SP,,,,,,,,2026-08-13
Mai-Hyper 86E,,,,,,,,2026-08-13
Mai-Hyper 86QC,,,,,,,,2026-08-13
Mai-Phoenix 75A,,,,,,,,2026-08-13
Mai-Phoenix 75B,,,,,,,,2026-08-13
Mai-Phoenix 86A,,,,,,,,2026-08-13
Mai-Phoenix 86B,,,,,,,,2026-08-13
Mai-Phoenix 86C,,,,,,,,2026-08-13
Mai-Phoenix 86D,,,,,,,,2026-08-13
Mai-Phoenix 86E,,,,,,,,2026-08-13
MakerCase,,,,,,,,2026-08-13
Makers지능형과학VR,,,,,,,,2026-08-13
ManageBac+,,,,,,,,2026-08-13
Math Alive,AllviA Math Alive,com.visang.mathalive,"VISANG Education, Inc.",500+,,,0.76,2026-08-13
Math in Math (웹버전),,,,,,,,2026-08-13
Math41,,,,,,,,2026-08-13
MathType for HTML Editors & MathType for Office Tools,,,,,,,,2026-08-13
MathsPad,SHS Maths Pad,com.shsmathspad.bestclickseries,Best Click Series,100+,,,0.88,2026-08-13
Maxon One Classroom License,,,,,,,,2026-08-13
MazM 스튜디오,,,,,,,,2026-08-13
McGraw Hill Learning Platform  (K-12),,,,,,,,2026-08-13
Mentor Online,,,,,,,,2026-08-13
Merge,Merge - Connect to iPhone,com.mergecorp.merge,Merge Labs Ltd,50만+,3.64,991,0.40,2026-08-13
"Microsoft 365 (파워포인트, 액셀, 워드, 팀즈, 러닝 액셀러레이터, 루프등 포함)",,,,,,,,2026-08-13
Music Box Maniacs,,,,,,,,2026-08-13
MyOpenMath,,,,,,,,2026-08-13
Mystery Science,,,,,,,,2026-08-13
N.A.V.I,NAVI(나비) - 성경 암송,com.caunavi.navi,Seora Lee,5천+,4.74,75,0.50,2026-08-13
NAVER 웨일 TOSEL 진단-학습-기록 플랫폼,,,,,,,,2026-08-13
NEW sPLUS(더존 Smart A),,,,,,,,2026-08-13
NLG - 넘버렛츠고,,,,,,,,2026-08-13
Net-Class 9.0 / 넷클래스 9.0,,,,,,,,2026-08-13
New_아이온(AiON),,,,,,,,2026-08-13
"Newsela, Newsela LITE",,,,,,,,2026-08-13
NoRedInk,,,,,,,,2026-08-13
Nomad Sculpt,Nomad Sculpt,com.stephaneginier.nomad,Hexanomad,100만+,4.49,8715,1.00,2026-08-13
OCT 직무역량검사,,,,,,,,2026-08-13
OK증명알리아스,,,,,,,,2026-08-13
OSUN 4.0,,,,,,,,2026-08-13
Oxford Discover,Oxford Discover,br.com.zeroum.oxford.discover,01Digital,5만+,,,1.00,2026-08-13
Oxford Discover Futures,,,,,,,,2026-08-13
PCT 인성역량검사,,,,,,,,2026-08-13
PI Class 파이클래스,,,,,,,,2026-08-13
PI Class(파이클래스),,,,,,,,2026-08-13
PLAGE,,,,,,,,2026-08-13
POLL EVERYWHERE SERVICES,,,,,,,,2026-08-13
PST 성격강점검사,,,,,,,,2026-08-13
PTGui,,,,,,,,2026-08-13
Padlet Platinum Annual,,,,,,,,2026-08-13
PageBuilder,,,,,,,,2026-08-13
Pentalk Pro,,,,,,,,2026-08-13
Pentalk_PBL_PRO,,,,,,,,2026-08-13
Pentalk_PBL_STD,,,,,,,,2026-08-13
Pentalk_PRO_DP4,,,,,,,,2026-08-13
Pentalk_PRO_DP6,,,,,,,,2026-08-13
Pentalk_PRO_TC1,,,,,,,,2026-08-13
Pentalk_PRO_TC4,,,,,,,,2026-08-13
Perso AI (Alan for Education),,,,,,,,2026-08-13
Phedy Labs,,,,,,,,2026-08-13
Phonics and Stuff,,,,,,,,2026-08-13
Pio Play - 삐오 플레이,Pio Play - 삐오 플레이,com.roboamtion.pioplay,(주)로보메이션,1천+,,,1.00,2026-08-13
Pivot Animator,,,,,,,,2026-08-13
Pixlr,Pixlr AI Photo Editor,com.pixlr.express,Pixlr Pte Ltd,1억+,4.44,1215392,0.40,2026-08-13
Pixton,,,,,,,,2026-08-13
PressReader,PressReader,com.newspaperdirect.pressreader.android,PressReader Inc.,"1,000만+",4.77,43186,1.00,2026-08-13
Prezi,Prezi: AI Presentation Advices,com.termul2.blackblue,Lark Bersinar Soft,5천+,,,0.31,2026-08-13
Prodigy Game,,,,,,,,2026-08-13
Programiz,,,,,,,,2026-08-13
Proteus Design Suite,,,,,,,,2026-08-13
ProtoPie,ProtoPie Player — Prototyping,io.protopie.companion,Studio XID Inc,10만+,4.67,295,0.54,2026-08-13
PureRef,,,,,,,,2026-08-13
Questi / 질문하마,,,,,,,,2026-08-13
Quik,GoPro Quik : 사진편집 + 동영상 편집,com.gopro.smarty,GoPro,"5,000만+",4.71,1091425,0.30,2026-08-13
Quiver 3D Coloring App and Quiver Education Dashboard,,,,,,,,2026-08-13
Qupid AI / 중고등 AI 서비스,,,,,,,,2026-08-13
R+ENGINEER,R+ENGINEER (ROBOTIS),com.robotis.robotisEngineer,Steam Education Association,1천+,4.71,15,0.72,2026-08-13
R+TASK,,,,,,,,2026-08-13
ROS2 로봇SW 직접 만들고 코딩하자,,,,,,,,2026-08-13
RSPT,,,,,,,,2026-08-13
RaccoonBot - 라쿤봇 조이스틱,RaccoonBot - 라쿤봇 조이스틱,com.robomation.raccoon_app,(주)로보메이션,100+,,,1.00,2026-08-13
Rakugaki AR,,,,,,,,2026-08-13
Raspberry Pi,Learn Raspberry Pi Pico,com.algsoftlab.rp2040picocpp,ALG Software Lab,1천+,,,0.71,2026-08-13
ReadTheory,,,,,,,,2026-08-13
Real PT,RealPT (구),com.kbi.realpt,realpt,100+,,,0.91,2026-08-13
RealLives Simulation Game,,,,,,,,2026-08-13
Robomation DFU -  로보메이션 DFU,Robomation DFU - 로보메이션 DFU,net.robomation.dfu,(주)로보메이션,500+,,,1.00,2026-08-13
Rodocodo,Rodocodo: Code Hour,com.rodocodo.codehour,Rodocodo Ltd,10만+,3.73,302,0.67,2026-08-13
Router 에뮬레이터,,,,,,,,2026-08-13
SAP Learning Hub,,,,,,,,2026-08-13
SAP University Alliance,,,,,,,,2026-08-13
SDP스쿨솔루션,,,,,,,,2026-08-13
SELUP(셀럽),,,,,,,,2026-08-13
"SEN스쿨(센스쿨, 서울교수학습플랫폼)",,,,,,,,2026-08-13
SJCODE(에스제이코드),,,,,,,,2026-08-13
SMILE (Stanford Mobile Inquiry-based Lerning Environment),,,,,,,,2026-08-13
SMP-AI,,,,,,,,2026-08-13
SOAK@home (쏙앳홈),,,,,,,,2026-08-13
SPOMARU,,,,,,,,2026-08-13
STEP(스마트 직업훈련 플랫폼),,,,,,,,2026-08-13
STLINK,StLinkP - Stm32 updater,com.yatrim.stlinkp,Yaroslav Trymbach,5만+,4.40,193,0.45,2026-08-13
SW AI를 위한 마이크로비트 with MakeCode,,,,,,,,2026-08-13
School AI,School Ai App,com.ai.math.helper,Qualitech Apps LLC,100+,,,0.82,2026-08-13
SchoolAI,Smart School Ai,akira.akira.smartschool,Akira Software Solutions Pvt. Ltd,500+,,,0.74,2026-08-13
Science# for Android,,,,,,,,2026-08-13
Science# for Windows,,,,,,,,2026-08-13
Science# for iOS,,,,,,,,2026-08-13
Science# for web,,,,,,,,2026-08-13
Seesaw,Seesaw,seesaw.shadowpuppet.co.classroom,Seesaw Learning,500만+,3.36,25834,1.00,2026-08-13
Shuttlerun ai,ShuttleRun AI - 셔틀런 자동 측정,com.hoonjang.shuttlerunai,훈장님,50+,,,0.76,2026-08-13
Sketchbook,Sketchbook,com.adsk.sketchbook,Sketchbook,1억+,3.81,705235,1.00,2026-08-13
Sky Tonight - Star Gazer Guide,,,,,,,,2026-08-13
Smart Phonics 3rd,Smart Phonics 3rd 3,com.eltkorea.smartphonics3rd3,e-future,1만+,3.61,35,0.97,2026-08-13
SmoodyAI,,,,,,,,2026-08-13
Socrative,Socrative Student,com.socrative.student,Showbie Inc.,500만+,2.38,16762,0.70,2026-08-13
Solar Walk,Solar Walk 2 Ads+: 움직이는 태양계,com.vitotechnology.SolarWalk2Free,Vito Technology,100만+,3.76,10929,0.57,2026-08-13
Sooup AI (수업AI),,,,,,,,2026-08-13
Soundplant,,,,,,,,2026-08-13
Soundtrap for Education,,,,,,,,2026-08-13
Spline,Spline,com.react_native_spline_app,Spline AG,1천+,,,1.00,2026-08-13
Star Walk 2 - Night Sky Map,,,,,,,,2026-08-13
Stock'er (스토커 : 모의주식투자),,,,,,,,2026-08-13
StoryJumper,,,,,,,,2026-08-13
