회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2023,사계초등학교,오케스트라 현악기 수리,2024-02-27,1085000,1인수의,리스트링,(전수)
2023,도평초등학교,유치원 학습재료 구입(아이클레이외 5종),2024-02-27,1315380,1인수의,아이꿈터제주점,(전수)
2023,노형초등학교,체육관 상부창문 커튼모터 설치,2024-02-27,4400000,1인수의,세진커텐&침구,(전수)
2023,노형초등학교,방송실 장비 점검 및 보수(스피커 셀렉트 선번 정리 및 보수 및 안테나케 ...,2024-02-27,1130000,1인수의,(주)영재정보통신,(전수)
2023,동홍초등학교,학급 교실 및 복도 페인트 도색 작업 실시,2024-02-27,5000000,1인수의,한양페인트백화점,(전수)
2023,새서귀초등학교,돌봄교실 학습자료 구입,2024-02-27,1245400,1인수의,제주교재사,(전수)
2023,함덕초등학교,[카드]2024학년도 입학식 포토존 설치,2024-02-27,1000000,1인수의,반포갤러리바이소랑꽃,(전수)
2023,함덕중학교,학교시설 유지관리 소모품(화장지 외 2종) 구입,2024-02-27,1230000,1인수의,제주특별자치도장애인생산품판매시설,(전수)
2023,법환초등학교,시설관리용 물품 구입,2024-02-27,1113000,1인수의,신화종합상사,(전수)
2023,한마음초등학교,폐기물(회의용 탁자 등) 처리,2024-02-27,1789040,1인수의,서은환경개발,(전수)
2023,제주동여자중학교,교무실 환경개선 사업에 따른 비품 구입,2024-02-27,1130320,1인수의,주식회사 지마켓,(전수)
2023,한국뷰티고등학교,복사용지 및 화장지 구입,2024-02-27,2240000,1인수의,제주특별자치도장애인생산품판매시설,(전수)
2023,가파초등학교,"2023학년도 AI 활용 스마트학습(1,2월분) 지급",2024-02-27,1106000,1인수의,(주)아이스크림에듀,(전수)
2023,제주북초등학교,체육관 원격조명릴 교체,2024-02-27,1507220,1인수의,주식회사 대은,(전수)
2023,강정초등학교,돌봄교실 프린터 토너 구입,2024-02-27,1200000,1인수의,(주)코리아정보,(전수)
2023,함덕고등학교,음악관 운영에 따른 핸드타올 및 복사용지 구입,2024-02-27,2441200,1인수의,주식회사신동아문구,(전수)
2023,영주고등학교,2024년 2월 정보화기기 유지보수료 납부,2024-02-27,1234430,1인수의,삼다오에이시스템,(전수)
2023,아라초등학교,행정실 사무용품(모나미 프러스펜 청색외) 구입,2024-02-27,1450000,1인수의,알파제주아라점,(전수)
2023,아라초등학교,교내 시설관리 용품(썬팅지외) 구입,2024-02-27,2300000,1인수의,한영종합상사,(전수)
