회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,인천선학초등학교,1인수의,물품,AI 디지털 활용 선도학교 교원 에듀테크 및 구독료 [카드],2026-05-26,4177000,(주)아이스크림미디어,에듀테크
2026,인천가림초등학교,1인수의,물품,에듀테크(Book Creator 교육용 라이선스 구입) 물품 구입비 지급,2026-05-26,630000,테크빌교육(티처몰),에듀테크
2026,인천해원초등학교,1인수의,물품,[S2B]AI디지털 활용 선도학교 에듀테크 구입(아트봉봉 디지털드로잉),2026-05-26,180000,주식회사 모노플로우,에듀테크
2026,인천남동초등학교,1인수의,용역,[카드5.24.]에듀테크 활성화를 위한 프로그램 구입 (미리캔버스 학년용),2026-05-24,160800,이니시스-유한회사딜리버리히어로코리아,에듀테크
2026,인천해송고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크S/W(감마) 연간사용권 구입,2026-05-22,380000,워드현 에듀테크,에듀테크
2026,인천문남초등학교,1인수의,물품,2026학년도 AI 디지털 선도학교 코스웨어 및 에듀테크 구매(2차)_수정,2026-05-22,8500000,(주)로지브라더스,에듀테크
2026,인천해송고등학교,1인수의,물품,에듀테크S/W(워드월) 연간사용권 구입,2026-05-22,122000,로그테크,에듀테크
2026,인천해송고등학교,1인수의,물품,에듀테크S/W(마이클) 연간사용권 구입,2026-05-22,299000,"티처몰(키즈티처몰),,테크빌교육(주)",에듀테크
2026,만성중학교,1인수의,물품,에듀테크부 전산장비 구입,2026-05-22,121000,성지아이엔씨,에듀테크
2026,인천해송고등학교,1인수의,물품,에듀테크S/W(미드저니) 연간사용권 구입,2026-05-22,538000,가온인테크,에듀테크
2026,진산중학교,1인수의,용역,2026학년도 AI 중점학교 운영을 위한 에듀테크 프로그램 구입,2026-05-21,378000,아이티존(주),에듀테크
2026,인천명현초등학교,1인수의,물품,[카드]2026학년도 AI 에듀테크 전문적 학습공동체 협의회,2026-05-20,38100,빽다방(인천효성명현점),에듀테크
2026,인천하늘중학교,1인수의,물품,(카드) [목적] 2026학년도 AI·디지털 활용 선도학교 에듀테크 구입,2026-05-20,4388400,한국교직원공제회 S2B,에듀테크
2026,인천새말초등학교,1인수의,물품,zep school 에듀테크 구입,2026-05-20,1200000,주식회사 젭,에듀테크
2026,인천동부초등학교,1인수의,물품,AI중점학교 교육운영비(에듀테크 사용료) 지급,2026-05-20,2054000,(주)아이젠테크,에듀테크
2026,인천새말초등학교,1인수의,물품,AI에듀테크 및 교육SW 구입,2026-05-19,879000,(주)아이스크림미디어,에듀테크
2026,인천새말초등학교,1인수의,물품,스쿨플랫 에듀테크 구입,2026-05-19,4375000,주식회사 프리윌린,에듀테크
2026,인천고잔유치원,1인수의,물품,5세 에듀테크 놀이 기반 인공지능 기기 대여 및 교재(6월) 구입,2026-05-19,630000,주식회사 키위에듀,에듀테크
2026,계산중학교,1인수의,물품,2026학년도 중독예방 중점시범학교 운영 위한 에듀테크 유료툴(제미나이) 구입비 지급,2026-05-19,11000,한선영,에듀테크
2026,인천해송고등학교,1인수의,물품,"AI·디지털 활용 선도학교 운영을 위한 에듀테크S/W (챗GPT,클로드)구입",2026-05-19,6356000,주식회사 레드포인트,에듀테크
2026,인천해송고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크S/W(snorkl) 구입,2026-05-19,1000000,주식회사 오늘배움,에듀테크
2026,부원여자중학교,1인수의,용역,[북부지역연계]영어체험프로그램 학습 지도 역량 강화를 위한 에듀테크 구입,2026-05-19,442800,올아이피정보통신 주식회사,에듀테크
