계약번호,구분,계약명,계약일,금액,수요기관,학교코드,급별,시도,상세URL,학교명,업체명
R26TE16039548,기술용역,20260721 진로융합 기초프로그램 및 인공지능 체험 전세버스 임차 용역,2026-06-24,1650000,충청남도교육청 충청남도당진교육지원청 대덕초등학교,8291102,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01994725&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,대덕초등학교,신성관광주식회사
R26TE16040116,기술용역,2026학년도 여름방학 AI·SW 체험캠프 운영 용역,2026-06-24,2000000,경기도교육청 경기도광주하남교육지원청 광주송정초등학교,7692194,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01998878&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,광주송정초등학교,주식회사 에이블
R26TE16041133,기술용역,2026학년도 충의중 1학년 진로체험(AI시대 디지털 세상에서의 진로탐색) 용역 계약,2026-06-24,4000000,경기도의정부교육청 충의중학교,7561013,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01993009&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,충의중학교,주식회사 어나더컴퍼니그룹
R26TE16079096,기술용역,2026학년도 나래중학교 2학년 인공지능 진로체험 용역 계약,2026-06-25,4200000,경기도교육청 경기도김포교육지원청 나래중학교,7771202,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02003208&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,나래중학교,주식회사 어썸스쿨
R26TE16080791,기술용역,"2026학년도 AI,디지털 프로그램 체험 참가 버스 임차 용역 계약",2026-06-17,770000,경기도광주교육청 광일중학교,7692041,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01973440&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,광일중학교,주식회사 서울구경
R26TE16082664,기술용역,2026학년도 대덕소프트웨어마이스터고등학교 교내 행사 위탁 용역,2026-06-30,44912170,대전광역시교육청 대덕소프트웨어마이스터고등학교,7430310,고등학교,대전광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02002743&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,대덕소프트웨어마이스터고등학교,대전 세종 BH 종합 렌탈
R26TE16082917,기술용역,1학기 AI 융합 체험학습 차량 임차,2026-06-24,880000,충청남도교육청 서령고등학교,8140089,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01997778&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,서령고등학교,대산관광(주)
R26TE16082960,기술용역,동패중학교 로봇·코딩체험교실 프로그램 운영 ,2026-06-23,16306400,경기도교육청 경기도파주교육지원청 동패중학교,7681152,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01988816&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,동패중학교,참다솜 주식회사
R26TE16084287,기술용역,2026학년도 영천전자고등학교 상반기AI기반 중소기업 이해연수 및 리더쉽캠프,2026-06-25,18780000,경상북도교육청 영천전자고등학교,8750476,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02004662&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,영천전자고등학교,서후에듀케이션
R26TE16086566,기술용역,2026학년도 학교교육과정 평가회 겸 AI중심학교 선진지 버스 임차용역,2026-06-29,1900000,세종특별자치시교육청 다빛초등학교,9300171,초등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005231&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,다빛초등학교,주식회사 베스트 투어
