회계연도,기관명,계약방법,계약명,계약일,계약금액,계약상대자,키워드
2024,여고초등학교,1인수의,2024년 12월 ~ 2025년 1월 식재료(농수공잡곡) 구입,2024-12-30,77035070,나무유통,(전수)
2024,여고초등학교,1인수의,2024년 12월 ~ 2025년 1월 식재료(가금류) 구입,2024-12-30,2161300,BM푸드,(전수)
2024,신진초등학교,1인수의,[S2B]유치원 졸업 및 수료 선물(벽시계) 구입비 지급,2024-12-30,1201500,(주)두들,(전수)
2024,신진초등학교,1인수의,[S2B]본관2층 교무실 문서세단기[대진코스탈KS-400C] 구입비 지출,2024-12-30,1123000,나이스쿨,(전수)
2024,연일중학교,1인수의,각교실 분리수거용 쓰레기통 구입건 지출(s2b),2024-12-30,1213200,아태유통,(전수)
2024,양동초등학교,1인수의,2024학년도 기초학력 신장을 위한 교재 제본비 지급,2024-12-30,4000000,인터카피,(전수)
2024,양덕초등학교,1인수의,화장실 온수기 교체 및 샤워 관련 시설 설치비 지출,2024-12-30,1507000,한창기업,(전수)
2024,영도초등학교,1인수의,출입구 우산걸이 철거 및 교실 시트 작업(s2b),2024-12-30,4818000,아남기업,(전수)
2024,영도초등학교,1인수의,체육용품 구입(s2b),2024-12-30,3931000,S2B학교장터,(전수)
2024,양정초등학교,1인수의,교육용 및 야구부 캠코더 구입,2024-12-30,3000000,스쿨로닷컴,(전수)
2024,영산고등학교,1인수의,2024학년도 아침체인지 활동 전체 마무리 물품 구입비 지급,2024-12-30,1378730,아이마트,(전수)
2024,연제초등학교,1인수의,교내 주차장 바닥 보수작업비 지출(S2B),2024-12-30,6226000,성원기업,(전수)
2024,영도초등학교,1인수의,2024학년도 3~6학년 진로체험활동비(s2b),2024-12-30,3530000,드림피아,(전수)
2024,양정초등학교,1인수의,운동장 마사토 보충 및 정비 작업,2024-12-30,4730000,남산체육산업,(전수)
2024,예문여자고등학교,1인수의,"2024학년도 고교학점제 준비학교 운영을 위한 1,2학년 진로탐색 창의적체험활동 워크북 구",2024-12-30,2100000,주식회사이오북스,(전수)
2024,연신초등학교,1인수의,[원인-S2B]2024학년도 졸업장 및 졸업 선물 구입,2024-12-30,1658340,(주)이든교육,(전수)
2024,금강초등학교,1인수의,2024년 학생 구강검진 및 건강검진비 지출(한국건강관리협회),2024-12-30,4386880,(사)한국건강관리협회,(전수)
2024,금샘초등학교,1인수의,중앙현관 냉난방기 구입 설치비 지출,2024-12-30,9787670,엘지전자 주식회사,(전수)
2024,금샘초등학교,1인수의,랜선 포설및 정리와 라벨링 작업비 지출,2024-12-30,2500000,대일전산 OA,(전수)
2024,남성초등학교,1인수의,2024년 학교 캐노피 설치공사 준공금,2024-12-30,28927420,박현주 디자인연구소,(전수)
2024,남성초등학교,1인수의,"2024학년도 4,5,6학년 학생 표준화심리검사",2024-12-30,2130000,한국행동심리연구소,(전수)
2024,금사초등학교,1인수의,"스마일금사 오케스트라 운영 악기 구입(클라리넷외, S2B)",2024-12-30,2860000,오월의악기,(전수)
2024,금사초등학교,1인수의,불용물품 폐기(S2B),2024-12-30,1760000,대영동서자원주식회사,(전수)
2024,금명여자고등학교,1인수의,[원인]2024학년도 제16회 원화제 음향 및 조명 대여,2024-12-30,2500000,엘로이기획,(전수)
2024,금강초등학교,1인수의,"2024년 2,3,5,6학년 학생 구강검진비 지출(비에스치과)",2024-12-30,1583400,시온BS.치과,(전수)
2024,금곡초등학교,1인수의,2024 가족 책 읽기 사업 학교도서관 조성을 위한 도서 및 서가 이전 용역비,2024-12-30,6952000,부경SMART기업,(전수)
2024,남문초등학교,1인수의,2024학년도 학생 건강검진 비용 지급(부산의료원),2024-12-30,3252760,부산광역시 의료원,(전수)
2024,구덕고등학교,1인수의,[원인]2025학년도 창체진로워크북 교재 제작 계약,2024-12-30,2000000,고려문화사,(전수)
2024,남명초등학교,1인수의,공기순환기 필터 교체비 지급,2024-12-30,1892000,(주)성일,(전수)
2024,금정중학교,1인수의,외부환경개선공사 비구방지휀스 설치비 지급,2024-12-30,16589100,명성휀스 주식회사,(전수)
2024,금정여자고등학교,1인수의,2024학년도 자기주도학습 우수학생 대상 대구 인문학 기행 차량임대료 지출(S2B),2024-12-30,1500000,가야고속관광투어(주),(전수)
2024,금정여자고등학교,1인수의,2024학년도 1학년 서울권 대학탐방 및 문화체험 차량임대료 지출(S2B),2024-12-30,1900000,주식회사 춘하추동고속관광,(전수)
2024,구덕고등학교,1인수의,[원인]2025년 과학달력 제작(수업유연화 교과 융합 수업 활동),2024-12-30,3000000,고려문화사,(전수)
2024,금정초등학교,1인수의,컬러 레이저 프린터 토너 구입비 지급,2024-12-30,1180000,우리종합상사,(전수)
2024,기장초등학교,1인수의,2024학년도 12월 학교 도서관 지역자활센터 인력 용역비 지급,2024-12-30,1100000,기장지역자활센터,(전수)
2024,금정고등학교,1인수의,2024학년도 교육정보부 전산소모품(액정보호필름) 구입비 지출,2024-12-30,1571500,네이버파이낸셜(주),(전수)
2024,금정초등학교,1인수의,환경미화원 휴게실 구축 공사비 지급,2024-12-30,6500000,에코인에듀,(전수)
2024,기장초등학교,1인수의,종량제봉투 구입,2024-12-30,1100000,(주)서원유통 탑마트 기장 서부점,(전수)
2024,구덕고등학교,1인수의,[원인]2024학년도 2학년 자기주도 학습자료집 제작,2024-12-30,3197500,고려문화사,(전수)
2024,구덕고등학교,1인수의,[원인]방화문 표시 바닥용 스티커 구입대금 지급,2024-12-30,1125000,조인트크리에이티브,(전수)
2024,금양중학교,1인수의,SW교육 지원 교구 및 물품 구입,2024-12-30,1059060,주식회사 에스에스지닷컴,(전수)
2024,구포초등학교,1인수의,2024학년도 학생 건강검진 및 구강검진비 지출(구포성심병원),2024-12-30,4870840,구포성심병원,(전수)
2024,낙동초등학교,1인수의,폐기물 처리 용역비 지급,2024-12-30,1654400,(주)태준,(전수)
2024,서동초등학교,1인수의,S2B - 과학 실험용 물품 구입,2024-12-30,1642000,(주)세종과학,(전수)
2024,서감초등학교,1인수의,2025학년도 과학 교구 및 준비물 구입,2024-12-30,1986100,주식회사 세원과학사,(전수)
2024,승학초등학교,1인수의,"(S2B) 교육(모둠 수업용) 이동형 전자칠판, 프린터기 구입",2024-12-30,2260000,위드스쿨(주),(전수)
2024,신라중학교,1인수의,2024학년도 1학년 건강검진 비용 지급,2024-12-30,3057040,(사)한국건강관리협회 부산광역시서부지부,(전수)
2024,상당초등학교,1인수의,교실 도색비 지출(S2B),2024-12-30,4499000,동래페인트,(전수)
2024,수영초등학교,1인수의,학교운동부 슬로우볼머신 구입,2024-12-30,3960000,(주)지비하이테크,(전수)
2024,상학초등학교,1인수의,2024학년도 학생 건강검진비(부민병원) 지급,2024-12-30,1057150,부민병원,(전수)
2024,상학초등학교,1인수의,2024학년도 학생 건강검진(만덕연세비엔이치과) 검진비 지급,2024-12-30,1299200,만덕연세비앤이치과의원,(전수)
2024,신곡초등학교,1인수의,관리실 노후환경 개선 전기공사 대금 지급,2024-12-30,1233100,주식회사 상화테크,(전수)
2024,상당초등학교,1인수의,늘봄전담실 및 교내 전기 공사비 지출(S2B),2024-12-30,4052850,(주)하랑이엔씨,(전수)
2024,상당초등학교,1인수의,시청각실 안전평균대 구입비 지출(S2B),2024-12-30,2384000,지혜의숲,(전수)
2024,수안초등학교,1인수의,본관 교사 외벽 도색공사 시행 계약,2024-12-30,18289500,(주)원지산업개발,(전수)
2024,신도초등학교,1인수의,종량제 봉투 구입,2024-12-30,1151280,해동환경(주),(전수)
2024,서천초등학교,1인수의,2024년 초등돌봄교실 운영물품 구입비 지급,2024-12-30,1405120,지마켓(옥션),(전수)
2024,세정고등학교,1인수의,2024학년도 아침체인지 물품 구입,2024-12-30,2000000,동은스포츠,(전수)
2024,신도고등학교,1인수의,(원인)학교운동부(펜싱) 동계 강화훈련 장비 구입 지출(S2B),2024-12-30,4901480,(주)프리모상사,(전수)
2024,센텀고등학교,1인수의,2024 창체형 지역연계 수업 물품 구입비 지급(카드),2024-12-30,1120520,11번가 주식회사,(전수)
2024,성지초등학교,1인수의,도서관 운영 물품 구입비 지출,2024-12-30,1066920,주식회사 지마켓,(전수)
2024,송도초등학교,1인수의,프린터 토너 구입(s2b)(카),2024-12-30,1008400,한국교직원공제회 S2B,(전수)
2024,신곡중학교,1인수의,소방시설 보수공사 실시,2024-12-30,3509000,(주) 남경이엔지,(전수)
2024,신도중학교,1인수의,2024학년도 학교폭력예방 및 회복적생활교육 활동 기념 달력 제작비 지출,2024-12-30,1147200,스냅스,(전수)
2024,송수초등학교,1인수의,2024학년도 제19회 졸업식 졸업장 및 졸업 물품비 지급,2024-12-30,3545080,(주)이든교육,(전수)
2024,성도고등학교,1인수의,[G2B] 2024년 다양한 학교운동장 조성 사업 인조잔디 공사 실시,2024-12-30,45407410,(주)에코바운드,(전수)
