제품,조회어,PC,모바일,합계,글자수,확인일
AI 에듀 클래스,AI에듀클래스,< 10,< 10,0,7,2026-08-14
AI 에듀케어봇,AI에듀케어봇,< 10,< 10,0,7,2026-08-14
AI 역사 인물 인터뷰,AI역사인물인터뷰,< 10,< 10,0,9,2026-08-14
AI 영어 Literacy 평가 학습 솔루션 'AI 모비리드',AI영어Literacy평가학습솔루션'AI모비리드',< 10,< 10,0,27,2026-08-14
AI 영어 지문 마스터,AI영어지문마스터,< 10,< 10,0,9,2026-08-14
AI 온북,AI온북,< 10,< 10,0,4,2026-08-14
AI 웹앱 서비스(마이크로비트 연동),AI웹앱서비스,< 10,< 10,0,7,2026-08-14
AI 유아돌봄 플랫폼,AI유아돌봄플랫폼,,,,9,2026-08-14
AI 윤리 탐정,AI윤리탐정,,,,6,2026-08-14
AI 음성인식 - 푸리에 LAB [교재+SW 이용권],AI음성인식-푸리에LAB[교재+SW이용권],,,,23,2026-08-14
"AI 음악코딩 놀이, 허밍블럭스","AI음악코딩놀이,허밍블럭스",,,,14,2026-08-14
AI 인강학습 도우미 GPTalk(지피톡),AI인강학습도우미GPTalk,,,,15,2026-08-14
AI 인공지능 바둑·오목 로봇 센스로봇 GO,AI인공지능바둑·오목로봇센스로봇GO,,,,19,2026-08-14
AI 자리배치 클래스메트리,AI자리배치클래스메트리,< 10,< 10,0,12,2026-08-14
AI 천체망원경 (베스페라),AI천체망원경,< 10,< 10,0,7,2026-08-14
AI 초피티,AI초피티,< 10,< 10,0,5,2026-08-14
AI 코딩과 전통 공연,AI코딩과전통공연,< 10,< 10,0,9,2026-08-14
AI 크래프트,AI크래프트,< 10,< 10,0,6,2026-08-14
AI 탐구 기록 제출,AI탐구기록제출,< 10,< 10,0,8,2026-08-14
AI 탐사로봇 테크노시아 행성을 재건하라,AI탐사로봇테크노시아행성을재건하라,< 10,< 10,0,18,2026-08-14
AI 토리드론,AI토리드론,< 10,< 10,0,6,2026-08-14
AI 토핑독서,AI토핑독서,< 10,< 10,0,6,2026-08-14
AI 패스파인더,AI패스파인더,20,< 10,20,7,2026-08-14
AICE Associate,AICEAssociate,1940,2470,4410,13,2026-08-14
AIX-mate,AIX-mate,< 10,< 10,0,8,2026-08-14
AIoT 스마트시티 만들기 (홈/팜/주차장/모빌리티등),AIoT스마트시티만들기,< 10,< 10,0,12,2026-08-14
AI·디지털 교육자료 포털,AI·디지털교육자료포털,,,,12,2026-08-14
AI기반 질문생성훈련 콘텐츠,AI기반질문생성훈련콘텐츠,< 10,< 10,0,13,2026-08-14
AI로봇집게,AI로봇집게,< 10,< 10,0,6,2026-08-14
AI매일수학,AI매일수학,460,420,880,6,2026-08-14
AI매직포유,AI매직포유,100,190,290,6,2026-08-14
AI문해력 진단/트레이닝 학습시스템 (AI SM-119),AI문해력진단/트레이닝학습시스템,< 10,< 10,0,17,2026-08-14
AI사장님 클래스,AI사장님클래스,,,,8,2026-08-14
AI수시면접코치,AI수시면접코치,,,,8,2026-08-14
AI스토리교실,AI스토리교실,,,,7,2026-08-14
AI스포츠박스,AI스포츠박스,,,,7,2026-08-14
"AI시대 미래역량 검사, 디큐","AI시대미래역량검사,디큐",,,,13,2026-08-14
AI잇플레이와 사회정서학습 [교재+키트],AI잇플레이와사회정서학습[교재+키트],< 10,< 10,0,20,2026-08-14
AI최적요리사 - 떡볶이 대결,AI최적요리사-떡볶이대결,< 10,< 10,0,13,2026-08-14
AI포니봇(마이크로비트 기반),AI포니봇,10,10,20,5,2026-08-14
AI학교생활기록부,AI학교생활기록부,< 10,< 10,0,9,2026-08-14
AI헬피챗,AI헬피챗,10,< 10,10,5,2026-08-14
AI활용HR전문가,AI활용HR전문가,< 10,< 10,0,9,2026-08-14
ALC 학습분석 스테이션 v2,ALC학습분석스테이션v2,< 10,< 10,0,13,2026-08-14
AR 빛 실험실,AR빛실험실,10,< 10,10,6,2026-08-14
AR 핑거스토리,AR핑거스토리,40,30,70,7,2026-08-14
AREX CLIMB,AREXCLIMB,20,< 10,20,9,2026-08-14
AR창의융합영어미술 아토리,AR창의융합영어미술아토리,,,,13,2026-08-14
"AR책카드, XR책놀이, VR로 떠나는 토론 캠프","AR책카드,XR책놀이,VR로떠나는토론캠프",,,,22,2026-08-14
AR태양계행성학습카드 / 미래과학 AR,AR태양계행성학습카드/미래과학AR,,,,18,2026-08-14
Abled PingPong Robot,AbledPingPongRobot,,,,18,2026-08-14
Abled pingpong App,AbledpingpongApp,,,,16,2026-08-14
Ableton Live 12,AbletonLive12,20,< 10,20,13,2026-08-14
Adobe Creative Cloud All apps,AdobeCreativeCloudAllapps,< 10,< 10,0,25,2026-08-14
Agency Workspace,AgencyWorkspace,< 10,< 10,0,15,2026-08-14
Agisoft Metashape / 3D모델링 및 드론항공지도(정사영상)제작,AgisoftMetashape/3D모델링및드론항공지도제작,< 10,< 10,0,31,2026-08-14
AhaSlides,AhaSlides,50,30,80,9,2026-08-14
"AiSAC (아이작, AI 광고창작 지원 서비스)",AiSAC,40,30,70,5,2026-08-14
Aivy(에이비) 창의 서비스 제작 플랫폼,Aivy창의서비스제작플랫폼,< 10,< 10,0,14,2026-08-14
Alan (Alan for Education),Alan,80,240,320,4,2026-08-14
Algodoo,Algodoo,40,50,90,7,2026-08-14
AllBody (AI 체력측정 & 체력향상),AllBody,< 10,10,10,7,2026-08-14
AllviA,AllviA,,,,6,2026-08-14
Ally Class,AllyClass,,,,9,2026-08-14
Alphalyzer(알파라이저),Alphalyzer,,,,10,2026-08-14
"Amplify Classroom, Polypad, Mathigon","AmplifyClassroom,Polypad,Mathigon",,,,33,2026-08-14
Animal Typing 동물 타자연습,AnimalTyping동물타자연습,,,,18,2026-08-14
"Apple School Manager, 교실 앱(Classroom), 스쿨워크(Schoolwork)","AppleSchoolManager,교실앱,스쿨워크",,,,27,2026-08-14
ArcGIS Online,ArcGISOnline,,,,12,2026-08-14
Arkain,Arkain,,,,6,2026-08-14
Arpe,Arpe,,,,4,2026-08-14
Artsteps,Artsteps,,,,8,2026-08-14
