제품,회사
[YBM] AI 디지털 교육자료 초등 영어5(최희경),주식회사 와이비엠
[YBM] AI 디지털 교육자료 초등 영어6(김혜리),주식회사 와이비엠
[YBM] AI 디지털 교육자료 초등 영어6(최희경),주식회사 와이비엠
[YBM] Y클라우드,주식회사 와이비엠
"[건축체험] 식물의 집, 다육이 화분 만들기 체험 키트",(주)창의체험
[건축체험] 아키조블록 연필꽂이 키트,(주)창의체험
[고등] AI 기반 교육 및 입시 지원 솔루션,이투스에듀(주)
[고등] AI 기반 학생부·진로진학 솔루션,
[교재] 스토리로 배우는 AI탐사 로봇 바우카,주식회사 잇플 ITPLE
[교재] 엔트리 인공지능과 함께하는 토리드론,주식회사 잇플 ITPLE
[교재] 정보과 교육 이론과 실제,주식회사 잇플 ITPLE
[교재] 파이썬 인공지능과 함께하는 토리드론,주식회사 잇플 ITPLE
[그리스 로마 신화] 신과 영웅의 大 서사시,(주)휴넷
[더미키트] 공유보드 조이스틱 컨트롤러,표쌤코딩 주식회사
[더미키트] 악어룰렛,표쌤코딩 주식회사
[더미키트] 인공지능 현관문,표쌤코딩 주식회사
[따프] AI 미러봇,(주)수학사랑
[따프] 백제 미스터리 연구소,(주)수학사랑
[따프] 수학자의 저주,(주)수학사랑
[따프] 신라의 비밀,(주)수학사랑
[따프] 피타고라스의 초대,(주)수학사랑
[로봇공학자] 워킹 로봇 키트,꿈여울 교육지원센터
[북러닝] 네이버 vs 카카오(도서 제공),(주)휴넷
[빛공학자] 광섬유 LED 등대 키트,꿈여울 교육지원센터
[스낵영어네이티브] 영어 독학러를 위한 왕초보 탈출,(주)휴넷
[스쿨톡] 교원안심번호,넷브리즈(주)
[스쿨톡] 방문자예약시스템,넷브리즈(주)
[스쿨톡] 출결관리 시스템,넷브리즈(주)
[스쿨톡] 학교문자Plus,넷브리즈(주)
[스쿨톡] 학교전화녹음 서비스,넷브리즈(주)
[에너지환경공학자] 에너지 환경 과학 키트,꿈여울 교육지원센터
[에듀인애스크] 원어민 화상영어,(주)에듀인애스크
[융합기계공학자] 호버컬링볼 키트,꿈여울 교육지원센터
[전자책] 토핑 AI 온라인 독서학습 서비스(월구독),주식회사 피씨엔씨
[제품디자이너] 원형나무 벽시계 키트,꿈여울 교육지원센터
[제품디자이너] 클레이 탁상시계 키트,꿈여울 교육지원센터
[조명디자이너] LED 조명액자 키트,꿈여울 교육지원센터
[중등] AI 기반 특목·자사고 진학 지원 솔루션,이투스에듀(주)
[지혜의 샘] 괴테의 인생 수업,(주)휴넷
[지혜의샘] 니체가 진료합니다.당신의 삶은 건강한가요?,(주)휴넷
[타일공예가] 냄비 받침대 만들기 키트,꿈여울 교육지원센터
[패션디자이너] 에코백 만들기 키트,꿈여울 교육지원센터
abds-1000M (단안 생물현미경),주식회사 아비더스
aidreammap,(AI)드림맵
aiedu.love,에듀집2
arkain,주식회사 구름
"capella music notation software, capella audio2score pro, capella-scan, tonica fugata",(사)한국디지털교육협회2
devth,주식회사 구름
e-GIS(이지아이에스),에듀집2
e-RS,리딩스타(주)
eDIBON SCADA SYSTEM,제이피킴코퍼레이션
ePAPS,주식회사 컴플렉시온
ed_Glasses1(이디글래스1) & 열공비서(앱),(주)에이퓨필
exbody670,주식회사 엑스바디
iCUBE 핵심ERP,(주) 더존비즈온
ibisPaint Edu,(사)한국디지털교육협회2
ingyu's ai world(초등학교 AI 웹앱 자료집),에듀집2
interai,메타커뮤니케이션센터 주식회사
issamGPT(아이쌤지피티),아이스크림미디어
klass,(주)비상교육
learn.concord.org,(사)한국디지털교육협회2
lit---ry(릿---리),에듀집2
mBlock STEAM Education Platform (mBlock5 / mBlock Web),(사)한국디지털교육협회2
master K,(주)비상교육
masterTOPIK,(주)비상교육
myCompiler,myCompiler
onlinegdb.com,(사)한국디지털교육협회2
penta-view,로그.알
penta-view 일반고용 AI코스웨어 엔진,로그.알
pocketCPR하트푸쉬,주식회사 하트세이버
pocketCPR하트푸쉬 키트,주식회사 하트세이버
puple(퍼플),에듀집2
schoolsms,(주)제이티통신
soopeh(수페),에듀집2
tubeLXA,인튜브
uCode4,제이엠로보틱스
uTradeEdu,(주)한국무역정보통신
vFlat,주식회사 보이저엑스
wiCuri,하라에듀
xTool F1,Supertrack
xTool S1,Supertrack
zSpace Studio A3,주식회사 베스트텍 (Best Tech. Inc.)
​LEGO® Education 레고에듀케이션 EV3 코어세트  마인드스톰 3세대 S/W,(주)핸즈온테크놀러지
​LEGO® Education레고에듀케이션  Wedo 2.0 위두 코어세트,(주)핸즈온테크놀러지
​LEGO® Education레고에듀케이션 사이언스(11+),(주)핸즈온테크놀러지
​LEGO® Education레고에듀케이션 스파이크_에센셜앱,(주)핸즈온테크놀러지
​LEGO® Education레고에듀케이션 스파이크_프라임 앱,(주)핸즈온테크놀러지
​LEGO® Education레고에듀케이션 컴퓨터사이언스&AI S/W,(주)핸즈온테크놀러지
『울산교육종단연구 2024』본조사 시스템,오엠알스캔
가람수강신청시스템,가람
가르침 AI 동화,주식회사 가르침에듀
가상현실 과학실험,주식회사 컨테츠다
간이정신진단검사II (KSCL95/온라인검사),중앙적성출판사
감정자유기법,주식회사 디맨드
갓피플성경,(주) 갓피플
강아지형 4족 AI 체험로봇 파이독,주식회사 서큘러스
강원진학지원센터,오엠알스캔
강원진학지원통합시스템 감자바 프로그램 및 감자바 앱,오엠알스캔
강원특별자치도교육청 통합전자도서관,강원특별자치도교육청교육과학정보원
개념도감,정재환
개발자 꿈나무를 위한 AI 교육,주식회사 딥앤하이
건강새싹채소 (무순 외 7종),주식회사 틔움세상
건축디자이너 키트,꿈여울 교육지원센터
게티스캐치,(주)게티이미지코리아
"겟지피티 (GetGPT) - AI 교육 실습, 행정 자동화, 생활기록부 작성 보조 프로그램",유한책임회사 워드브릭스
경기 Be-Able (특수교육)_경기도교육청,경기교육청
경기고교학점제_경기도교육청,경기교육청
경기관광 플랫폼,경기관광공사
경기도교육청전자도서관_경기도교육청,경기교육청
경기온라인학교_경기도교육청,경기교육청
경기환경실천소프트웨어(클로버)_경기도교육청,경기교육청
경남형 진로교육 지원 플랫폼(아이꿈봄),경상남도교육청 진로교육원
경량형 버나 만들기 키트,사단법인 전통연희놀이연구소
경북인공지능맞춤형교수학습플랫폼(경북AI배움터)_AIEP,경북교육청
경상남도교육청 전자도서관,경남교육청
경상북도교육청전자도서관,경상북도교육청정보센터
경영전략 시뮬레이션 MaTS 게임,(주) 비즈앤플레이
경원 클래스룸,에듀집2
경제교실 이코노미아,에듀집2
고교 연금 수업 플랫폼,사단법인 밥일꿈
고교학점제 대비 대학계열 탐색검사,비엘소프트
고교학점제 수강신청 프로그램,한국교육과정평가원
"고둥둥심포니 Composer 앱(안드로이드, IOS)",와이즈온미디어
"고둥둥심포니 for EDU(음악,게임,애니메이션)",와이즈온미디어
고등 공통수학1 전인태 AI 디지털 교육자료,(주)천재교과서
고등 공통수학1 홍진곤 AI 디지털 교육자료,(주)천재교과서
고등 공통수학2 전인태 AI 디지털 교육자료,(주)천재교과서
고등 공통수학2 홍진곤 AI 디지털 교육자료,(주)천재교과서
고등 공통영어1 강상구 AI 디지털 교육자료,(주)천재교과서
고등 공통영어1 조수경 AI 디지털 교육자료,(주)천재교과서
고등 공통영어2 강상구 AI 디지털 교육자료,(주)천재교과서
고등 공통영어2 조수경 AI 디지털 교육자료,(주)천재교과서
고등 정보 AI 디지털 교육자료,(주)교문사
고등 정보 김현철 AI 디지털 교육자료,(주)천재교과서
고등학교 공통수학1 AI 디지털 교육자료,(주)지학사
고등학교 공통수학2 AI 디지털 교육자료,(주)지학사
고등학교 공통영어1 AI 디지털 교육자료,(주)지학사
고등학교 공통영어2 AI 디지털 교육자료,(주)지학사
고용24,고용노동부
고전5미닛,모네상스
곰도리,곰도리플랫폼
곰플레이어+ 비즈니스,주식회사 곰앤컴퍼니
곰픽 비즈니스,주식회사 곰앤컴퍼니
공공 클라우드 LMS,맑은소프트
공학도서관,(주)공도
과업 기반 언어교수법 적용 영어 회화 실습 시스템,고준보
과학동아에어 에듀,동아사이언스
과학쌤과학실,에듀집2
광산구통합도서관 전자책 서비스,광산구청
광주동구도서관 전자도서관,전남광주통합특별시동구
광주형 한국어 교육 APP,광주교육청
교보문고 구독형 전자도서관,(주) 교보문고
교보문고 소장형 전자도서관,(주) 교보문고
교사용 E-BOOK,세광음악출판사
교육·기업을 위한 차세대 AI 통합 솔루션 위즈AI,(주)런위즈
교육용 게임콘텐츠,(재)게임문화재단
교육용 로봇 유카,(주)유닛컴퍼니
교육용 프린트 학습지,이지티칭
교풀AI,주식회사 휴몬랩
구구판,주식회사 뉴메룩스
"구글 워크스페이스 포 에듀케이션 플러스, 제미나이, 구글 클래스룸 등 (구글 워크스페이스 핵심 서비스)",주식회사 포인투랩
"구글 추가 서비스 (구글 맵, 유튜브, 어스, 아트앤컬쳐 등)",주식회사 포인투랩
구글EDLA인증 55인치 안드로이드 13 전자칠판,주식회사 스마트터치
구글EDLA인증 65인치 스탠다드 전자칠판,주식회사 스마트터치
구독형 전자책 플랫폼 서비스(전자도서관),주식회사 부커스
국가기초학력지원포털,한국교육과정평가원
국립온라인과학관 메타플리,국립중앙과학관
국악놀이터,국립국악원
국어로,주식회사 런케이에듀
국어하다,에듀집2
국토정보플랫폼,국토지리정보원
굴착기 조작훈련 시뮬레이터,주식회사 심지
굿노트,주식회사 아이좋아
균형잡는 앵무새 키트,꿈여울 교육지원센터
그라운드(Grownd),에듀집2
그래머피티,주식회사 그래머피티
그래피툰,주식회사 멜라카
그랩캐드 프린트,스트라타시스 유한회사
그로우캔 (방울토마토 외 5종),주식회사 틔움세상
그리니티,에듀집2
그린스마트스쿨 및 지능형과학실 VR 메타퀘스트3S,드림앤잡스
그린웨일,뮤라클(Muracle)
그림봉투화분 (스위트바질 외 5종),주식회사 틔움세상
글라스아트 체험 키트,꿈여울 교육지원센터
글잇 (구: 큐라이트),주식회사 퓨처덕
기상기후 빅데이터 분석 플랫폼,기상청
기숙사 관리 프로그램,비엘소프트
기초학습능력검사/적응행동검사/정서행동검사/자폐성장애검사,(주)샤크로
기후행동1.5℃,한국기후환경네트워크
길벗·이지톡 / 학습지원자료,(주)도서출판 길벗
"길벗교과서 / 교수학습자료, 전자저작물",(주)도서출판 길벗
길벗스쿨 / 학습지원자료,(주)도서출판 길벗
길찾기 생존교육 오리엔티어링,주식회사그린아워
김천시립도서관 전자도서관,김천시립도서관
김킷(Gimkit),(사)한국디지털교육협회2
김타자,공대오빠
깨디와 한글마법사,주식회사 에리드
깨봉수학,이쿠얼키 주식회사
깨비누리 1년 이용권,(주)깨비키즈
깨비키즈 1년 이용권,(주)깨비키즈
꼬꼬무AI,김형훈
꽃제기 만들기 키트(10세트),사단법인 전통연희놀이연구소
꽃집사의 GREEN POT (코스모스 외 7종),주식회사 틔움세상
꽃집사의 이끼정원,주식회사 틔움세상
꿈it(잇)다_경기도교육청,경기교육청
꿈多이음,주식회사 스마트소셜
꿈多이음 다문화 학생들의 꿈을 이어주는 진로 플랫폼,주식회사 스마트소셜
꿈담길,꿈담길
끄적끄적아지트,에듀집2
나는 미래 스마트 교사,(주)아리수에듀
나니아,주식회사 나니아랩
나보:J,주식회사 맘트
나의 바이브 코딩 여정,조근영
나의AAC,재단법인 엔씨문화재단
나이스플러스,에듀집2
내동중학교 칭찬저금통,에듀집2
내신닷컴 단체가입,(주)내신닷컴
내신닷컴 수시·정시 합격예측 서비스,(주)내신닷컴
내일의 직업을 찾아서,주식회사 유스타터
냠냠키즈,주식회사 누비랩
너도나도,주식회사 너도나도
네오 테스트,주식회사 퓨쳐누리
"네이버 서비스(네이버 폼, 네이버 데이터랩, 파파고, 제페토, 네이버 밴드, 클로바 더빙/노트, 네이버 지도, 네이버 사전, 하이퍼클로바 X, 네이버 카페, 네이버 블로그, Mybox)",네이버 주식회사
노코드AI 스마트메이커,(주)메이커플랫폼
논술마스터,아티움테크
누리놀이 위드,이케이 주식회사
누리한글 한글 해득 지원 시스템,충남교육청
"뉴댄스, K댄스 AI튜터",테크톤
뉴로월드 EDU,주식회사 우리소프트
뉴로피아: 깨어남의 기록,최연석
니즈폼,렛플
다관절 사족보행 로봇 시뮬레이터,김정수
다국어 프로그램,주식회사 가르침에듀
다글로,(주)액션파워
다깨침 학습 다문화 강의실,부산교육청
다다익샘(다락원 교과서),(주)다락원
다듣영어+,울산교육청
다문화교육포털,국가평생교육진흥원
다배움교실,울산교육청
다음포털/카페/어학사전,주식회사 에이엑스지
다이어트카메라,주식회사 두잉랩
"다채움 (채움모니터, 채움책방, 채움수학, 채움영어, 채움코딩, 채움캔버스, 채움타자 등)",충북교육청
단면 체험형 구연동화,주식회사 메타존
달 딱지 만들기 키트(10세트),사단법인 전통연희놀이연구소
달팽이 속에 숨은 무지개 키트,꿈여울 교육지원센터
당신의 회사는 지금,에듀집2
대구 교육 가상여행 학습 KIT,주식회사 토포로그
대구전자도서관,대구도서관
대성마이맥 Player,주식회사 디지털대성
대전 인공지능 맞춤형 교수학습 플랫폼(AIEP),대전교육청
대전공공도서관 통합홈페이지,대전광역시 한밭도서관
대표홈페이지_국립특수교육원,국립특수교육원
더존 Smart A(iPLUS),(주) 더존비즈온
더존 화상영어센터,(주)더존비앤씨티
더존화상영어,(주)더존비앤씨티
더폰드,(주)레티튜
데이스쿨,데이콘 주식회사
데이터에듀 PT,주식회사 데이터에듀
데일리스쿨,에듀집2
도서출판 길벗 AI 디지털 교육자료 (중학교 정보),(주)도서출판 길벗
도트 타이머,(주)스마트동스쿨
도트 플래너,(주)스마트동스쿨
독갑이™,(주)이프립
독갑이™ 커리어플래너,(주)이프립
독갑이™ 팀플,(주)이프립
독도 가상여행 체험학습 KIT,주식회사 토포로그
독서 플랫폼 아이윙 이용권(12개월),(주)아이윙티브이
독서교육 플랫폼 리딩오션,레듀텍
독서퀴즈 똑책,주식회사똑플러스
독서통장light,에듀집2
돌고래휴지통 키트 (마이크로비트 미포함),주식회사 비피
동물카드 / 미래과학 AR,미래과학
동아링 (DongAring),기찬소프트
동아여자고등학교 관리 시스템,에듀집2
동아출판(주) 두클래스,동아출판(주)
동아출판㈜ AI 디지털 교육자료(고등학교),동아출판(주)
동아출판㈜ AI 디지털 교육자료(중학교),동아출판(주)
동아출판㈜ AI 디지털 교육자료(초등학교),동아출판(주)
동영상편집프로그램 - 뱁믹스2,주식회사 뱁션
돼지 저금통 만들기 DIY 코딩 교육 키트,(주)엘라인
두런허브,주식회사 두런허브
두루책방,재단법인 씨앗
두피디아,(주)두산디지털이노베이션
드림AI스튜디오,(주)피플즈
드림어필,주식회사 트루밸류
듣는교실,에이아이솔루션
들샘클래스ON,들샘미디어
디딤돌교실,(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 3-1),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 3-2),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 4-1),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 4-2),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 5-1),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 5-2),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 6-1),(주)디딤돌교육
디딤돌교육 AI 디지털 교육자료(초등학교 수학 6-2),(주)디딤돌교육
디비디비스쿨 / 방과후학교 프로그램,(주)엑스메카
디스커버리 에듀케이션,(주)공터영어
디엘비에듀(수능과탐끝장내기) 역학과 에너지 여러가지운동,디엘비에듀 주식회사
디엘비에듀(수능과탐끝장내기) 화학 산화수법 마스터,디엘비에듀 주식회사
디엘비에듀(수능과탐끝장내기) 화학 중화반응 완성,디엘비에듀 주식회사
디지털 교수학습자료(일본어/중국어 등),(주) 시사북스
디지털 스페이스 로드,제이케이에듀텍컨텐츠
디지털 시민 유형 진단(DCTI),(재)케이티그룹희망나눔재단
디지털 윤리 질문 메모리게임,제이케이에듀텍컨텐츠
디지털 윤리 질문카드 게임 기초심화편,제이케이에듀텍컨텐츠
디지털 윤리 탐험대 보드게임 기초편,제이케이에듀텍컨텐츠
디지털 윤리 탐험대 보드게임 심화편,제이케이에듀텍컨텐츠
디지털 히어로의 탐험,제이케이에듀텍컨텐츠
디지털역량 어드벤처,주식회사 더넥스트에듀
디지털지식마루,경북교육청
딕셔너리팝,(주)플레이큐리오
"딜라이텍스(Delightex, 코스페이시스)",테크빌교육(주)
딥코 미니,유비온
딥코 봇,유비온
딥코 스튜디오,유비온
딥코보드 키트,유비온
땅굴버저 (미니게임버저),크리에이티브러닝
또박한글,주식회사 서큘러스
똑똑 주식 대결_AI 반도체 전쟁,(주)교육문화
똑똑 한자 공부방,에듀집2
똑똑! 수학탐험대,에듀집2
똑책 독서퀴즈,주식회사똑플러스
뚝딱샵,테크빌교육(주)
"라이키 프로젝트(마음보호훈련, 마음보호대탐험)",생명의전화
라이트 버저,크리에이티브러닝
라즈베리파이 피코2 올인원 키트,아이씨뱅큐(주)
라즈베리파이 홈 IoT 교육용 키트,아이씨뱅큐(주)
라즈키즈 온라인 독서 프로그램,(주)알에이치케이홀딩스
라쿤봇 조이스틱,(주)로보메이션
랭카데미맥스ai스쿨,주)아이일래
러닝에이씨드,주식회사 버블콘
러닝크루,홍성용
런데이,주식회사 땀
런메이트,주식회사 쿼렌시스
레고 에듀케이션 사이언스 / 시크릿노트,주식회사 퓨너스
레고 에듀케이션 사이언스 시크릿패키지 / 교사 포털,주식회사 퓨너스
레고 에듀케이션 스파이크 에센셜&프라임 / SPIKE,주식회사 퓨너스
레고 에듀케이션 컴퓨터 사이언스&AI,주식회사 퓨너스
레드멘타,주식회사 오늘배움
레슨위드 (LessonWith),주식회사 렉스퍼
레이어드AI,주식회사 레이어드
레전드 오브 바둑,(재)한국기원
"레지오 에밀리아 교육 철학을 반영한 아동 주도형 온디바이스 AI 기반 3D 리타겟팅 교구, LogicLab",주식회사 언페일
레츠비트 AI 우주수호대,주식회사 더넥스트에듀
레터웍스,주식회사 트위그팜
렛츠고 바둑 대모험,(재)한국기원
렛츠고 창의인성 바둑스쿨,(재)한국기원
렛츠코딩,주식회사 렛츠코딩
로보메이션 DFU,(주)로보메이션
로보메이션랩,(주)로보메이션
로보미,주식회사 로보그램 인공지능 로봇연구소
로보미 학교공용형,주식회사 로보그램 인공지능 로봇연구소
로보미 학생개별형,주식회사 로보그램 인공지능 로봇연구소
로보이드 AI 파이썬 라이브러리,에듀집2
로보이드 C 라이브러리,에듀집2
로보이드 CPP 라이브러리,에듀집2
로보이드 론처,에듀집2
로보이드 메이커,(주)로보메이션
로보이드 자바 라이브러리,에듀집2
로보이드 자바스크립트 라이브러리,에듀집2
로보이드 파이썬 라이브러리,에듀집2
로보이드 프로세싱 라이브러리,에듀집2
로보토리 / 로버스,라이프앤사이언스(주)
로켓트리,로켓트리
로키토키,미디어젠(주)
루미온,주식회사 루미온코리아
리더스아이,주식회사 리더스아이
리도보카,주식회사 지식
리드마크,권기효
리드앤톡영어도서관,(주)리드앤톡에듀
리딩 PRO,주식회사 가르침에듀
리딩레이스,사단법인 꿈의학교
리딩비 AI 영어독서 프로그램,(주)신지식교육
리딩비 AI 튜터 영어독서-자기주도,(주)신지식교육
리딩비 AI 튜터 파닉스-자기주도,(주)신지식교육
리딩비 AI 튜터 화상수업-자기주도,(주)신지식교육
리딩오션스플러스,주식회사 웅진컴퍼스
리딩해빗,리딩해빗
리베르스쿨 교과서,주식회사리베르스쿨
리스닝스쿨,(주)잉글리시헌트
리슨앤매치 잉글리시 러닝패드,팀브레인즈 주식회사
리얼 PT,한국신체정보(주)
리얼월드 스쿨,주식회사 레드포인트
리얼월드 스튜디오,주식회사 유니크굿컴퍼니
리코더온교실 - Recorder On Class,현대경제연구원
리쿠(LiKU),주식회사 토룩
리트 (reat),주식회사 콘파파
리틀리,모두업 주식회사
리틀빗으로 시작하는 IoT(사물인터넷),(주)아리수에듀
릴리스AI,LilysAI
링글 틴즈,(주)링글잉글리시에듀케이션서비스
링크원,아이티존(주)
마루랩,주식회사 토리에듀핀
마소캠퍼스 교육 콘텐츠,머니매그넷 주식회사
마음EASY검사,한국교육환경보호원
마음갈피,에듀집2
마음바다탐험대,에듀집2
마음씨앗 기록장,에듀집2
마음이음 무지개,에듀집2
마음토스,마인드풀랩스 주식회사
마이 그린,그린에이션(GREENATION)
마이마블,쁨쁨패밀리
"마이베스트 AI글쓰기: 과제탐구, 동화작가",가르치는 사람들
마이베스트(마이베스트 에듀),가르치는 사람들
"마이베스트AI글쓰기:과제탐구,동화작가",가르치는 사람들
마이크로비트 레트로 아케이드 PRO,아이씨뱅큐(주)
마이크로비트 스마트팜,표쌤코딩 주식회사
마이크로비트 코딩 교육 전용 키트,아이씨뱅큐(주)
마이크로비트 한글판 레트로 아케이드 키트,아이씨뱅큐(주)
마이크로소프트 교육용 마인크래프트,한국마이크로소프트
마이티쳐,마이티쳐코리아
마이폴리오,주식회사 베어러블
마인드게이즈,큐리어드
마인드소나타,마인드소나타
마인드큐브,(주)웰니스고
만공세계사 고대편 (8종 택1),스콜라스(주)
만공세계사 근대~현대편 (8종 택1),스콜라스(주)
만공세계사 중세편 (8종 택1),스콜라스(주)
만공한국사 고구려편 (5종 택1),스콜라스(주)
만공한국사 고려편 (7종 택1),스콜라스(주)
만공한국사 대한제국~현대편 (11종 택1),스콜라스(주)
만공한국사 백제편 (6종 택1),스콜라스(주)
만공한국사 선사~고조선편 (5종 택1),스콜라스(주)
만공한국사 신라~가야편 (4종 택1),스콜라스(주)
만공한국사 조선편 (23종 택1),스콜라스(주)
만공한국사 통일신라~발해편 (5종 택1),스콜라스(주)
말랑말랑 코딩여행,내일은쌤
말랑톡,(주)캐럿솔루션즈
말한마디,에듀집2
망고툰,(주)리아모어소프트
망고팩토리,주식회사 에딜
매쓰캔버스,(주)비상교육
매일국어T,(주)매일국어
매티픽(Matific),(주)알에이치케이홀딩스
맥스 AI,(주)위버스브레인
맥스 AI 월드,(주)위버스브레인
맥스ai스쿨,주)아이일래
맥파분석기,무진테크
머니머니,주식회사 유스타터
멀티터치테이블,주식회사 엠에스코리아
메디세스,이디비(주)
메디크루 VR,주식회사 뉴베이스
메이커봇 슬라이싱,(주)스팀솔루션
메이크 코드,한국마이크로소프트
메이킷 AI 코드 클래스,주식회사 메이킷에이아이랩스
메이플스토리 월드,(주)넥슨코리아
메타버스 코딩 SW,헬로앱스
메타브,주식회사 더에스엠씨
메타스포츠 SCHOOL - 온라인체육교실,(주)소프트젠
메타인지 OMR,나이테듀
메타인지 단어장,나이테듀
메타인지 플랫폼,나이테듀
메타인지플랫폼,나이테듀
멜 키트,메이커스테크놀로지
멸종위기동물 AR 구조대,주식회사 에코플레이
멸종위기동물 학습 시리즈,퍼플에듀케이션 주식회사
모니토,그렙
모델릭,에이치엔아이엑스
모델릭 (Modelic),에이치엔아이엑스
모두! ABCD,국립중앙박물관
모두싸인,주식회사 모두싸인
모두의 마이크로비트 실습 키트,아이씨뱅큐(주)
모두의 진로원픽,에듀집2
모두의 한국어,에듀집2
모두의땅,토지+자유연구소
모두의땅 - 대한민국 땅값지도,토지+자유연구소
모두출판,에고라이팅 주식회사
모모타로,김정민
모션탭 멀티팩 (MT-M01),(주)푸쉬캣
모션탭 스탠다드팩 (MT-S01),(주)푸쉬캣
모션탭 엑스퍼트팩 (MT-E01),(주)푸쉬캣
모션탭 퍼스널팩 (MT-P01),(주)푸쉬캣
모아 학급회의,주식회사지누켐
모아이(moAI),네오피아
모아진/도서관 매거진,주식회사 플랜티엠
모자익 에듀케이션(Mozaik Education),(주)엠씨미디어솔루션
모킹버드 문제은행,주식회사 모킹버드
모티버솔루션,주식회사 모티버
무니티,주식회사 들의곰
무선 멀티 Q 타이머 세트,크리에이티브러닝
무선 멀티 점수판 세트,크리에이티브러닝
무선 버저 V2 4인용,크리에이티브러닝
무선 버저 V3 4인용,크리에이티브러닝
무선 버저 V4 4인용,크리에이티브러닝
무선 투표기 317,크리에이티브러닝
무선 투표기 319z,크리에이티브러닝
문수네집,이문수
문해력 진단평가/트레이닝 AI 학습시스템 (AI Readers Doctor 119),주식회사 에스엠테크원
"문화유산 길라잡이 <황금의 나라 신라, 왕 이요!>",국립중앙박물관
뮤지아 원 (MUSIA ONE),주식회사 크리에이티브마인드
믐 (온라인 전시- 올인원 툴),뉴이스트아트
미니 소고 만들기 키트(10세트),사단법인 전통연희놀이연구소
미니그로우,앤츠네스트
미래교육 VR교실 솔루션,(주)메타에듀시스
미래교육연구회 사이트,에듀집2
미래엔 AI·디지털 교육자료 (고등 공통수학1),(주)미래엔
미래엔 AI·디지털 교육자료 (고등 공통수학2),(주)미래엔
미래엔 AI·디지털 교육자료 (고등 공통영어1),(주)미래엔
미래엔 AI·디지털 교육자료 (고등 공통영어2),(주)미래엔
미래엔 AI·디지털 교육자료 (고등 정보),(주)미래엔
미래엔 AI·디지털 교육자료 (중등 수학 1),(주)미래엔
미래엔 AI·디지털 교육자료 (중등 수학 2),(주)미래엔
미래엔 AI·디지털 교육자료 (중등 영어 1),(주)미래엔
미래엔 AI·디지털 교육자료 (중등 영어 2),(주)미래엔
미래엔 AI·디지털 교육자료 (중등 정보),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 3-1),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 3-2),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 4-1),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 4-2),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 5-1),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 5-2),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 6-1),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 수학 6-2),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 영어 3),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 영어 4),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 영어 5),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 영어 6),(주)미래엔
미래엔 AI·디지털 교육자료 (초등 정보),(주)미래엔
미래엔 엠티처,(주)미래엔
미래역량 어드벤처,주식회사 더넥스트에듀
미세먼지측정키트Pro,(주)네패스
미소급식 (학교전용 식수 급식관리 프로그램),포인트씨엠
미주 AI,주식회사 오늘배움
민주주의 바람의 나라,박종휘
민트영어ㆍ화상영어서비스,주식회사 에듀서브
밋메이트,주식회사 쿼렌시스
밍글봇 AI,주식회사 밍글콘
바로 쓰는 프링고 PRINGO 교육세트,무궁유교
바른한글(구 한국어 맞춤법/문법 검사기),(주)나라인포테크
바른한글(구)한국어 맞춤법/문법 검사기,(주)나라인포테크
바운더리엑스 AI 웹앱서비스,(주)바운더리엑스
바이브블록,주식회사 악어에듀
바이브온T,바이브온코퍼레이션
바이브클래스,제수연
박스히어로,비지피웍스
반디캠 맥 버전,반디캠컴퍼니 유한회사
반려로봇 loona,주식회사 티원솔루션
반짝클래스,에듀집2
받침음절표,주식회사에이치투케이
발달장애인 교육용 VR 콘텐츠,주식회사 컨테츠다
방구석연구소,주식회사 더에스엠씨
방송부 앱,이현욱
방탈출 메이커: 이루마 Escape Room Maker,(주)교육문화
배움공책,에듀집2
뱁믹스2,주식회사 뱁션
버추얼클래스,소프트웨이즈
베스트사이트,에듀집2
베티 - 모션 코딩,리원드 주식회사
베티 주니어,리원드 주식회사
별빛로그,양승근
보고핏(BOGOFIT) AI 가상 피팅 솔루션,주식회사 메타뱅크
보라구 중국어 Class,주식회사 에듀템
보은고 GPT,에듀집2
보행자를 위한 신호등,표쌤코딩 주식회사
부산광역시 전자도서관,부산도서관
