학교,시도,도메인,링크문구,링크URL
광남중학교,경기,doran.edunet.net,befc342236e89c11b6b107fcd608cc85.jpg,https://doran.edunet.net/main/mainForm.do
광남중학교,경기,dtbook.edunet.net,dtbook.png,https://dtbook.edunet.net/
광남중학교,경기,www.airkorea.or.kr,배너_03.png,https://www.airkorea.or.kr/web/
광명광성초등학교,경기,www.goegm.kr,회원가입,https://www.goegm.kr/kwangsung-e/sb/sbscrb/insertSbscrbInfo01.do
광명광성초등학교,경기,read365.edunet.net,독서로DLS,https://read365.edunet.net/
광명광성초등학교,경기,kwangsung.dkyobobook.co.kr,c07180bb3e27790e447858a0b2f13424.jpg,https://kwangsung.dkyobobook.co.kr/main.ink
광명광성초등학교,경기,www.army.mil.kr,43870440f4e5a8a5878dd19870e37355.jpg,https://www.army.mil.kr/e_book/mp/Family.pdf
광명광성초등학교,경기,www.toctocmath.kr,6900b5245ddac330004ae1eabc7ab746.png,https://www.toctocmath.kr/
광명광성초등학교,경기,www.crezone.net,fc6fc01163e32e1c95f6c63359da796a.jpg,http://www.crezone.net/main
광명광성초등학교,경기,www.textbook114.com,826c10f9ffdb7adbbf040ad80f8ca03a.jpg,https://www.textbook114.com/index.jsp
광명광성초등학교,경기,www.schoolhealth.kr,a4768f0ac2b5e7fedfa2cb12dee30839.jpg,http://www.schoolhealth.kr/
광명광성초등학교,경기,www.airkorea.or.kr,배너_03.png,https://www.airkorea.or.kr/web/
광명남초등학교,경기,www.goegm.kr,,https://www.goegm.kr/goegm/cm/cntnts/cntntsView.do?mi=5868&amp;cntntsId=3042
광명남초등학교,경기,www.ekape.or.kr,축산물 이력번호 조회,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1338300278
광명남초등학교,경기,www.army.mil.kr,43870440f4e5a8a5878dd19870e37355.jpg,https://www.army.mil.kr/e_book/mp/Family.pdf
광명남초등학교,경기,www.airkorea.or.kr,배너_03.png,https://www.airkorea.or.kr/web/
광명초등학교,경기,www.goegm.kr,회원가입,https://www.goegm.kr/gm-e/sb/sbscrb/insertSbscrbInfo01.do
광명초등학교,경기,cls12.edunet.net,e학습터,https://cls12.edunet.net/cyber/cm/mcom/pmco000b00.do
광명초등학교,경기,nsmart.koedu.co.kr,b3227a72ebd67c8b08364f9b3d85d014.jpg,https://nsmart.koedu.co.kr/nonmember/login.php
광명초등학교,경기,www.ggssia.or.kr,a1191754a9b9a87f83c56638568ad179.jpg,https://www.ggssia.or.kr/sub/sub04_01.php?boardid=news&amp;mode=view&amp;idx=28&amp;sk=&amp;sw=&amp;offset=&amp;category=
광명초등학교,경기,www.schoolhealth.kr,a4768f0ac2b5e7fedfa2cb12dee30839.jpg,http://www.schoolhealth.kr/
광명초등학교,경기,www.greeninet.or.kr,601d3680a78a20a8e9bac0bd0977f321.jpg,http://www.greeninet.or.kr/
광명초등학교,경기,www.edunet.net,edunet.jpg,https://www.edunet.net/nedu/main/mainForm.do
광명초등학교,경기,www.crezone.net,fc6fc01163e32e1c95f6c63359da796a.jpg,http://www.crezone.net/main
광명초등학교,경기,danopy.kr,ca8fe730d39b87d5fce17b15eec286b5.bmp,http://danopy.kr/
광명초등학교,경기,schoolaw.lawinfo.or.kr,schoolaw.jpg,http://schoolaw.lawinfo.or.kr/
광명초등학교,경기,www.airkorea.or.kr,배너_03.png,https://www.airkorea.or.kr/web/
광문초등학교,경기,www.goegm.kr,회원가입,https://www.goegm.kr/kmoon-e/sb/sbscrb/insertSbscrbInfo01.do
광문초등학교,경기,read365.edunet.net,image01.png,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=광문초등학교&amp;provCode=J10&amp;neisCode=J100001208
광문초등학교,경기,www.lifeline.or.kr,c92d9d28dd53a56446184837aa2c5a37.jpg,https://www.lifeline.or.kr/index.php
광문초등학교,경기,www.kmoon.or.kr,dfba7fcea070d66c9ffa1e975bf93fd1.png,https://www.kmoon.or.kr/wah/main/index.htm
광문초등학교,경기,www.airkorea.or.kr,dc6dfb8e24c7e10e8da94968c3f1e321.jpg,https://www.airkorea.or.kr/web/
광문초등학교,경기,113366.com,39b8bf173a79c9f8513aa6aebd48abb8.png,https://113366.com/moe_gyeonggi
광문초등학교,경기,www.eduwalks.com,84167b19f54ffa522a4f8e9e179fd71e.jpg,http://www.eduwalks.com/wah/main/file/download.do?id=10620_1
광문초등학교,경기,www.textbook114.com,826c10f9ffdb7adbbf040ad80f8ca03a.jpg,https://www.textbook114.com/index.jsp
광문초등학교,경기,www.hi1318.or.kr,0f57160d2e79aa7ed96d0c08f2ed1994.jpg,https://www.hi1318.or.kr/base/main/view
광성드림학교,경기,kwangsung.org,,http://kwangsung.org/?m=0
광성드림학교,경기,www.casak.org,,http://www.casak.org/
광성드림학교,경기,hanarae.com,,http://hanarae.com/
광성드림학교,경기,www.cserc.or.kr,,http://www.cserc.or.kr/
광성드림학교(고),경기,kwangsung.org,,http://kwangsung.org/?m=0
광성드림학교(고),경기,www.casak.org,,http://www.casak.org/
광성드림학교(고),경기,hanarae.com,,http://hanarae.com/
광성드림학교(고),경기,www.cserc.or.kr,,http://www.cserc.or.kr/
광성초등학교,경기,www.ebs.co.kr,EBS.png,https://www.ebs.co.kr/main?NaPm=ct%3Dhf2bview%7Cci%3D0Gy1001FZzHfpCO600-M%7Ctr%3Dsa%7Cet%3Dhf3rbd2w%7Cba%3D1%2E0%7Caa%3D1%2E0%7Chk%3Db03c9555b13a8cdb2e0c58e6759281a4efcd510d
광성초등학교,경기,www.edunet.net,에듀넷.png,http://www.edunet.net/nedu/main/mainForm.do
광일중학교,경기,www.goegh.kr,회원가입,https://www.goegh.kr/kwangil-m/sb/sbscrb/insertSbscrbInfo01.do
교동초등학교,경기,www.ekape.or.kr,축산물 이력번호 조회,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1358303039
교동초등학교,경기,www.goedu.kr,교육용클라우드지원시스템_팝업이미지(변경).jpeg,https://www.goedu.kr
구봉초등학교,경기,www.ebs.co.kr,EBS.png,https://www.ebs.co.kr/main?NaPm=ct%3Dhf2bview%7Cci%3D0Gy1001FZzHfpCO600-M%7Ctr%3Dsa%7Cet%3Dhf3rbd2w%7Cba%3D1%2E0%7Caa%3D1%2E0%7Chk%3Db03c9555b13a8cdb2e0c58e6759281a4efcd510d
구봉초등학교,경기,www.edunet.net,에듀넷.png,http://www.edunet.net/nedu/main/mainForm.do
군남중학교,경기,www.goeyc.kr,회원가입,https://www.goeyc.kr/gunnam-em/sb/sbscrb/insertSbscrbInfo01.do
군남중학교,경기,www.dbpia.co.kr,537207ce016af845b93fd9caeab36841.jpg,https://www.dbpia.co.kr/
군남중학교,경기,schoolaw.lawinfo.or.kr,b5d6f381116a8bd76c359c424d1382fb.jpg,http://schoolaw.lawinfo.or.kr/
군남초등학교,경기,www.goeyc.kr,회원가입,https://www.goeyc.kr/gunnam-em/sb/sbscrb/insertSbscrbInfo01.do
군남초등학교,경기,www.dbpia.co.kr,537207ce016af845b93fd9caeab36841.jpg,https://www.dbpia.co.kr/
군남초등학교,경기,schoolaw.lawinfo.or.kr,b5d6f381116a8bd76c359c424d1382fb.jpg,http://schoolaw.lawinfo.or.kr/
군서미래국제학교,경기,www.goesh.kr,회원가입,https://www.goesh.kr/gsgs-s/sb/sbscrb/insertSbscrbInfo01.do
군서미래국제학교,경기,gunseomirae.blogspot.com,IB PYP 활동 블로그,https://gunseomirae.blogspot.com/?mcode=1615&cate=1615
군서미래국제학교(초),경기,www.goesh.kr,회원가입,https://www.goesh.kr/gsgs-s/sb/sbscrb/insertSbscrbInfo01.do
군서미래국제학교(초),경기,gunseomirae.blogspot.com,IB PYP 활동 블로그,https://gunseomirae.blogspot.com/?mcode=1615&cate=1615
군포고등학교,경기,www.ekape.or.kr,축산물이력표시제,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1238204396
군포고등학교,경기,www.buwon.hs.kr,기숙사안내,http://www.buwon.hs.kr/main.php?menugrp=100100&master=html&act=page
군포고등학교,경기,itmaingunpo.cafe24.com,군포고 교육과정 및 방과후 신청,https://itmaingunpo.cafe24.com/cos/regi/login.php
군포고등학교,경기,read365.edunet.net,우리학교 도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B5%B0%ED%8F%AC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90&provCode=J10&neisCode=J100000502
군포고등학교,경기,www.dbpia.co.kr,DBpia,http://www.dbpia.co.kr/
근명고등학교,경기,www.goeay.kr,회원가입,https://www.goeay.kr/kmh-h/sb/sbscrb/insertSbscrbInfo01.do
근명고등학교,경기,read365.edunet.net,근명도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=근명고등학교&provCode=J10&neisCode=J100000507
근명고등학교,경기,kmhhs.dkyobobook.co.kr,전자도서관,https://kmhhs.dkyobobook.co.kr/main.ink
