계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024030549367,기술용역,신백현초 2024학년도 창의융합교육 AI 레인보우 프로그램 운영 용역 계약,2024-03-28,12240000,경기도교육청 경기도성남교육청 신백현초등학교,신백현초등학교,7551232,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403183FD_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 브레인스파크
2024030549842,기술용역,동구중학교 코딩 체험 프로그램 강의 계약,2024-03-27,1140000,경기도남양주교육청 동구중학교,동구중학교,7652065,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240318472_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 로보그램인공지능로봇연구소
2024030550315,기술용역,2024학년도 우촌초등학교 메타버스 유물탐사 콘텐츠맵 구축용역 입찰공고,,219500000,서울특별시성북교육청 우촌초등학교,우촌초등학교,7121340,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403184EF_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 한국에이아이 컨텐츠랩
2024030550318,기술용역,2024학년도 우촌초등학교 메타버스 유물탐사 콘텐츠맵 구축용역 입찰공고,2024-03-28,219500000,서울특별시성북교육청 우촌초등학교,우촌초등학교,7121340,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403184F4_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 한국에이아이 컨텐츠랩
2024030559501,기술용역,대선초등학교 컴퓨터실 Net-Class 9.0 소프트웨어 업그레이드 설치 용역 계약,2024-03-28,2640000,경기도수원교육청 대선초등학교,대선초등학교,7541062,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242300441_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,은성솔루션
2024030595340,기술용역,2024년 푸른초등학교 코딩 체험교육 운영 계약,2024-03-28,18000000,경기도교육청 경기도화성오산교육청 푸른초등학교,푸른초등학교,7679061,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242300CF4_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,DO메이커
2024030598180,기술용역,디지털 선도학교 교육용 소프트웨어(매쓰홀릭T) 구독 계약,,17700000,경기도교육청 시흥능곡고등학교,시흥능곡고등학교,7530894,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242300F00_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,즐거운학교 주식회사
2024030598181,기술용역,2024학년도 동보초 학생 미래역량 강화  AI 교육 운영 계약,2024-03-27,16070000,경기도동두천교육청 동보초등학교,동보초등학교,7602033,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242300F05_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,이나에이아이솔루션 주식회사
2024030598389,기술용역,2024학년도 동보초 학생 미래역량 강화  AI 교육 장비 임대 계약,2024-03-27,6480000,경기도동두천교육청 동보초등학교,동보초등학교,7602033,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242300F2A_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,보스케에이아이
2024030598406,기술용역,이충중 2024학년도 디지털 선도학교 AI 코스웨어(망고보드) 프로그램 사용 계약,2024-03-28,560000,경기도교육청 경기도평택교육청 이충중학교,이충중학교,7631124,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242300F47_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)리아모어소프트
2024030601771,기술용역,화계초 2024학년도 메이커코딩교육프로그램 운영,2024-03-27,20240000,서울특별시성북교육청 서울화계초등학교,서울화계초등학교,7121334,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423012F2_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코드링크랩
2024030604461,기술용역,2024학년도 AI융합아카데미 프로그램 운영 위탁 용역,2024-03-28,22000000,인천광역시교육청 인천상정고등학교,인천상정고등학교,7310342,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423014E7_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)퍼블릭에이아이
2024030606258,기술용역,조종고등학교 드론&자율주행 SW프로그램 체험 계약,2024-03-27,4290000,경기도교육청 조종고등학교,조종고등학교,7530791,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423016C8_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)한컴아카데미
2024030615379,기술용역,2024학년도 와포레션SW교육 위탁용역,2024-03-29,22400000,경기도교육청 경기도파주교육지원청 파주와동초등학교,파주와동초등학교,7681062,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242301C3F_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,참다솜교육사회적협동조합
2024030648824,기술용역,챗GPT 히어로 코스웨어 체험프로그램 제공 용역,2024-03-28,720000,경기도교육청 저현고등학교,저현고등학교,7530980,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024230224B_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 어썸스쿨
2024030650594,기술용역,2024학년도 6학년 메타버스 생태전환교육 용역,2024-03-29,10000000,경기도교육청 경기도성남교육지원청 성남여수초등학교,성남여수초등학교,7551261,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242302484_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,세모플러스 협동조합
