계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL,태그
R25TE01527086,기술용역,구리여고 2025학년도 학내전산망 및 정보화기자재 유지보수 용역,2025-02-27,4800000,경기도교육청 구리여자고등학교,구리여자고등학교,아이넷정보통신,7530055,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00186786&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01528604,기술용역,2025학년도 e알리미 사용 계약,2025-02-24,1584000,경기도부천교육청 심원중학교,심원중학교,주식회사 이웃닷컴,7581034,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00155457&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01529051,기술용역,2025학년 e알리미 서비스 사용 용역 계약,2025-02-27,1188000,경기도교육청 경기도군포의왕교육지원청 흥진초등학교,흥진초등학교,주식회사 이웃닷컴,7642032,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00228974&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01529244,기술용역,2025학년도 동학중 학내망 및 정보화기자재 유지보수 계약,2025-02-27,1800000,경기도교육청 경기도화성오산교육청 동학중학교,동학중학교,은성솔루션,7679106,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00130164&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01530235,기술용역,2025학년도 대현중학교 정보화기자재 유지보수 관리 용역 계약,2025-02-26,1900000,울산광역시강남교육청 대현중학교,대현중학교,영시스템,7501009,중학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00055192&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01531123,기술용역,2025학년도 반송초 스마트알리미(e알리미) 용역 계약,2025-02-27,1584000,경기도교육청 경기도화성교육청 반송초등학교,반송초등학교,주식회사 이웃닷컴,7679027,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00222568&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01531853,기술용역,2025학년도 숭의초등학교 레고에듀케이션 위탁,2025-02-27,8100000,서울특별시중부교육청 숭의초등학교,숭의초등학교,(주) 핸즈온테크놀러지,7061091,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00230033&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,레고 에듀케이션
R25TE01532260,기술용역,배영초 2025학년도 스마트공지시스템(E-알리미) 사용 계약,2025-02-28,1188000,경기도의정부교육청 배영초등학교,배영초등학교,주식회사 이웃닷컴,7561026,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00225110&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,SW·플랫폼(제품명 미상)
R25TE01533518,기술용역,금곡고 2025학년도  학내망 및 정보화기자재 유지보수 용역 계약,2025-02-26,3564000,경기도교육청 금곡고등학교,금곡고등학교,한별오에이(OA),7530629,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00164791&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01533530,기술용역,2025학년도 방과후학교 운영관리 플랫폼 코디마스터 사용계약,2025-02-27,1479000,경기도교육청 경기도구리남양주교육지원청 다산한강초등학교,다산한강초등학교,로데브(주),7652305,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00217463&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01533741,기술용역,2025학년도 e알리미 사용계약,2025-02-27,792000,경기도부천교육청 부천중원초등학교,부천중원초등학교,주식회사 이웃닷컴,7581073,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00223645&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01533862,기술용역,2025학년도 가상현실(VR) 스포츠실 유지 계약,2025-02-28,1200000,경기도교육청 경기도시흥교육지원청 하중초등학교,하중초등학교,(주)에어패스,7781037,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00224484&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,VR/XR 장비
R25TE01533875,기술용역,장승초 E알리미 유지관리 용역 계약,2025-02-26,1584000,경기도교육청 경기도구리남양주교육지원청 장승초등학교,장승초등학교,주식회사 이웃닷컴,7652112,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00219579&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01534102,기술용역,방배중학교 2025학년도 e알리미 서비스 이용,2025-02-21,1584000,서울특별시강남교육청 방배중학교,방배중학교,주식회사 이웃닷컴,7091430,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00230643&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01534126,기술용역,2025학년도 e알리미 사용 용역 계약,2025-02-27,1980000,경기도교육청 경기도용인교육청 흥덕중학교,흥덕중학교,주식회사 이웃닷컴,7751231,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00215377&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01534527,기술용역,2025 예당초 학내망 및 정보화기자재 유지보수,2025-02-27,3240000,경기도교육청 경기도화성오산교육지원청 예당초등학교,예당초등학교,주식회사 시원아이티,7679048,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00224961&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01534723,기술용역,2025학년도 e알리미 사용 계약,2025-02-26,1188000,경기도평택교육청 현화초등학교,현화초등학교,주식회사 이웃닷컴,7631063,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00212711&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01535267,기술용역,2025학년도 수현초등학교 e알리미 이용,2025-02-25,1980000,경기도교육청 경기도화성오산교육지원청 수현초등학교,수현초등학교,주식회사 이웃닷컴,7679453,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00208946&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01535431,기술용역,2025학년도 성주중학교 e알리미 사용 용역 계약,2025-02-27,1584000,경기도부천교육청 성주중학교,성주중학교,주식회사 이웃닷컴,7581032,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00164840&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01536033,기술용역,창현초 2025학년도 방과후학교 운영관리 플랫폼 코디마스터 라이선스 계약,2025-02-27,818400,경기도교육청 경기도구리남양주교육지원청 창현초등학교,창현초등학교,로데브(주),7652125,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00212822&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01536106,기술용역,2025학년도 공지시스템 e알리미서비스 용역 계약,2025-02-25,2376000,경기도광주교육청 탄벌초등학교,탄벌초등학교,주식회사 이웃닷컴,7692034,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00149247&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01536184,기술용역,2025학년도 e알리미 사용 용역 계약,2025-02-27,1188000,경기도시흥교육청 도일초등학교,도일초등학교,주식회사 이웃닷컴,7781040,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00139486&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
