기관명,계약명,계약일,계약금액,계약상대자,키워드
장생포초등학교,2025학년도 늘봄학교 선택형 교육 프로그램(로봇코딩) 재료 구입,2025-05-21,2205000,웨글웨글,코딩
월평유치원,2025학년도 6월 방과후과정 코딩 교재비 지출,2025-05-19,1830000,리틀브레인,코딩
상북유치원,2025학년도 방과후과정반 4월 특성화 재료비(창의블럭 및 코딩)지출,2025-05-08,1200000,바른가치,코딩
옥현유치원,2025학년도 코딩 교재 구입,2025-05-01,1100000,키즈에듀,코딩
내황유치원,"2025년 5월 4,5세 코딩 교재 구입",2025-04-29,1140000,아이교육,코딩
강남초등학교,[카드] 2025. 디지털시민교육실천학교 운영 물품 AI 코딩블록 KIT 구입비 지급,2025-04-29,1100000,쿠팡(주),코딩
월평유치원,2025학년도 5월 방과후과정 코딩교재비 지출,2025-04-23,1830000,리틀브레인,코딩
동평중학교,특수학급 교구(코딩로봇 외) 구입비 지출(S2B),2025-04-16,1100000,(주) 로보라이즌,코딩
굴화초등학교,[학교장터]2025학년도 코딩AI교실 운영 물품 구입,2025-04-08,6500000,주식회사 로보다인시스템,코딩
내황유치원,"2025년 4월 4,5세 코딩 교재 구입",2025-04-03,1140000,아이교육,코딩
농소초등학교,"2025학년도 유치원 방과후과정반 코딩활동 3, 4월 행사비 지급",2025-03-27,1125200,아이교육,코딩
월평유치원,2025학년도 4월 방과후과정 특성화 코딩교재비 지출,2025-03-24,1830000,리틀브레인,코딩
월평유치원,2025학년도 3월 방과후과정 특성화 코딩교재비 지출,2025-03-17,1830000,리틀브레인,코딩
내황유치원,"2025년 3월 4,5세 코딩 교재 구입",2025-03-12,1140000,아이교육,코딩
장생포초등학교,2025학년도 선택형 교육 프로그램(로봇코딩) 재료 구입,2025-03-11,2029000,웨글웨글,코딩
삼일초등학교,유치원 유아 코딩교구 및 자석블록 구입,2025-02-28,3367600,아이들의세상,코딩
언양누리유치원,2024학년도 코딩 교구 구입,2025-02-26,1786000,파라디아교육,코딩
개운초등학교,유치원 방과후과정반 교재 교구 구입비 지급(코딩 및 교재),2025-02-24,1184000,해피키즈,코딩
남산초등학교,"유치원 유아 놀이 교구( 미술, 코딩) 구입",2025-02-24,3944000,아이들의 세상(ulsan),코딩
동평초등학교,유치원 코딩놀이자료 구입,2025-02-21,4860000,캐슬교육,코딩
범서초등학교,2024. 유치원 겨울방학 중 방과후과정 코딩 수업 교구 구입비 지급,2025-02-20,2160000,바른가치,코딩
상북유치원,1월 특성화 재료비(창의블럭 및 코딩) 지급,2025-02-05,1130000,바른가치,코딩
약사가온유치원,겨울 방학 중 코딩 교재 구입,2025-02-05,1503000,아이들의세상,코딩
선암초등학교,유치원 코딩 블록 및 로봇놀이 구입,2025-01-21,1500000,아이교육,코딩
언양누리유치원,2024학년도 코딩 교구 구입,2025-01-13,1860000,파라디아교육,코딩
울산고운중학교,[카드]2024학년도 방과후학교 수업 교재 및 물품 구입 (바이로봇 코딩드론 파워팩),2025-01-08,1930600,베스트원,코딩
언양누리유치원,2024학년도 코딩 교구 구입,2025-01-08,16000000,파라디아교육,코딩
삼산초등학교,도담도담 운영을 위한 물품 구입(코딩로봇 외 2종),2025-01-07,6315000,현대교재사,코딩
고헌유치원,(카드) 2024. 4분기 코딩물품 구입,2024-12-27,3644000,(주)아인교육,코딩
상북유치원,12월 특성화 재료비(창의블럭 및 코딩) 지급,2024-12-27,1154000,바른가치,코딩
