회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2025,나성중학교,1인수의,물품,2025학년도 중국어교과 운영 물품(에듀테크 워드월 라이센스) 구입,2025-09-02,216000,테크빌교육(주),에듀테크
2025,연양초등학교,1인수의,물품,디지털 기반 교육혁신 실천학교 코스웨어 및 에듀테크 구입(2),2025-09-02,9290000,한국교직원공제회 S2B,에듀테크
2025,다정중학교,1인수의,물품,[카드-S2B] 클래스카드 PRO(에듀테크) 라이센스 구입,2025-08-29,6260000,아이티존(주),에듀테크
2025,종촌고등학교,1인수의,물품,특수학급 미래역량교육 에듀테크 프로그램 구입,2025-08-26,400000,아이티존(주),에듀테크
2025,도담고등학교,1인수의,용역,"2025년 디지털 기반 교육혁신 실천학교 AI 코스웨어, 에듀테크 서비스 구독",2025-08-22,8670000,한국교직원공제회 S2B,에듀테크
2025,전의중학교,1인수의,물품,2025학년도 디지털 기반 교육혁신 실천학교 에듀테크 프로그램 구독,2025-08-22,5776400,주식회사 모노플로우,에듀테크
2025,세종캠퍼스고등학교,1인수의,물품,[2025년 디지털 실천학교]에듀테크 구독지 지급,2025-08-21,70500,에듀테크나인,에듀테크
2025,전의중학교,1인수의,물품,2025학년도 디지털 기반 교육혁신 실천학교 4차 에듀테크 구입,2025-08-21,1550000,(주)엔이능률(NE능률),에듀테크
2025,고운고등학교,1인수의,물품,(원인)2025학년도 고운마음 에듀테크 도서 물품 구입,2025-07-23,19800,알라딘커뮤니케이션,에듀테크
2025,고운고등학교,1인수의,물품,(원인)2025학년도 전문적 학습공동체 고운마음 에듀테크 도서 물품 구입,2025-07-14,554300,알라딘커뮤니케이션,에듀테크
2025,부강중학교,1인수의,물품,에듀테크 활용을 위한 물품 구입(프린터),2025-07-07,663000,(주)이도아이티에스,에듀테크
2025,부강중학교,1인수의,물품,에듀테크 활용을 위한 물품비 지급(프린터),2025-07-02,700000,(주)이도아이티에스,에듀테크
2025,부강중학교,1인수의,물품,"에듀테크 활용을 위한 물품비 지급(무선마우스, 패드)",2025-06-30,538560,11번가 주식회사,에듀테크
2025,가락초등학교,1인수의,물품,2025학년도 여름방학중 성장지원(에듀테크 탐험대)프로그램 운영물품 구입,2025-06-24,200900,주식회사 지마켓,에듀테크
