회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2024,대전송림초등학교,미래수업교수학습공동체 운영을 위한 AI코스웨어 구입비 지출,2024-07-15,1500000,1인수의,주식회사 투블럭에이아이,코스웨어
2024,청란여자중학교,2024학년도 디지털교육 선도학교 운영을 위한 AI 코스웨어(수학 교과) 구독...,2024-07-12,1900000,1인수의,(주) 천재교과서,코스웨어
2024,대전대룡초등학교,AI코스웨어 라이선스 구입,2024-07-08,1381050,1인수의,주식회사 클래스팅,코스웨어
2024,유성초등학교,학습데이터 프로젝트 운영학교를 위한 AI코스웨어 구입비 지급,2024-07-05,2245200,1인수의,주식회사 클래스팅,코스웨어
2024,대전둔원중학교,AI 코스웨어 운영 노트북컴퓨터 구입,2024-07-04,1200000,1인수의,삼성전자 주식회사,코스웨어
2024,대전대성고등학교,(S2B) 디지털선도학교 운영 수학 교과 AI 코스웨어 구입비 지출,2024-07-01,3000000,1인수의,(주)화신이앤엘(E&L),코스웨어
2024,신탄진초등학교,2024학년도 디지털 기반 미래수업 교사학습공동체 AI 코스웨어 및 에듀테  ...,2024-06-25,1040800,1인수의,주식회사 클래스팅,코스웨어
2024,대전가장초등학교,2024학년도 AI 코스웨어 구입비 지급,2024-06-25,1500000,1인수의,주식회사 클래스팅,코스웨어
2024,대전성천초등학교,AI코스웨어 이용권 구입비 지급,2024-06-24,2377800,1인수의,주식회사 에누마코리아,코스웨어
2024,산서초등학교,AI 코스웨어 구입,2024-06-20,1300000,1인수의,주식회사 클래스팅,코스웨어
2024,대전호수초등학교,2024학년도 디지털 AI 코스웨어(3학년 수학과) 구입비 지급,2024-06-14,8000000,1인수의,비상교육FC,코스웨어
2024,호수돈여자중학교,[2024 디지털 교육 선도학교] 과학교과 AI코스웨어 구입 계약,2024-06-05,2520000,1인수의,주식회사 미네르바에듀,코스웨어
2024,대전대성고등학교,(S2B) 디지털선도학교 수학 교과 AI 코스웨어 구입비 지출,2024-05-29,1800000,1인수의,(주)프리윌린,코스웨어
2024,신탄중앙중학교,교과 AI 코스웨어 구입비 지급,2024-05-28,1400000,1인수의,(주) 천재교과서,코스웨어
2024,동방고등학교,디지털교육 선도학교 관련 AI코스웨어(퀴지즈) 구입비 지출,2024-05-27,1584000,1인수의,주식회사 오늘배움,코스웨어
2024,청란여자중학교,2024학년도 디지털 교육 선도학교 운영을 위한 AI 코스웨어(영어 교과) 구  ...,2024-04-29,1024000,1인수의,동아출판(주),코스웨어
2024,청란여자중학교,"2024학년도 디지털 교육 선도학교 운영을 위한 AI 코스웨어(영어, 국어, 공 ...",2024-04-29,11324800,1인수의,테크빌교육(주),코스웨어
2024,청란여자중학교,2024학년도 디지털 교육 선도학교 운영을 위한 AI 코스웨어(수학 교과) 구  ...,2024-04-29,1689600,1인수의,비트루브,코스웨어
