학교,시도,도메인,링크문구,링크URL
덕수고등학교,서울,www.dbpia.co.kr,DBpia - 연구를 돕는 똑똑한 학술콘텐츠 플랫폼,https://www.dbpia.co.kr/
덕수고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
덜위치칼리지서울영국학교,서울,seoul.dulwich.org,Letter From our Head of College,https://seoul.dulwich.org/why-dulwich/our-college/from-head-of-college
덜위치칼리지서울영국학교,서울,www.eimglobal.com,A family of Schools,https://www.eimglobal.com/?utm_source=dulwich.org&amp;utm_medium=footer-link&amp;utm_campaign=eim-family-of-schools
덜위치칼리지서울영국학교,서울,www.dulwich.org.uk,Dulwich College,https://www.dulwich.org.uk/?utm_source=dulwich.org&amp;utm_medium=footer-link&amp;utm_campaign=founding-school
도곡중학교,서울,read365.edunet.net,디지털도서관,https://read365.edunet.net/
도봉중학교,서울,read365.edunet.net,독서,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=도봉중학교&provCode=B10&neisCode=B100001702
도봉중학교,서울,www.dbdbschool.kr,자유학년제신청,https://www.dbdbschool.kr/member/login/sn/1784
도봉중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
도선고등학교,서울,scholar.kyobobook.co.kr,교보스콜라,https://scholar.kyobobook.co.kr
도선고등학교,서울,www.dbpia.co.kr,DBpia,http://www.dbpia.co.kr
독산고등학교,서울,reading.ssem.or.kr,디지털도서관,http://reading.ssem.or.kr/r/reading/search/schoolCodeSetting.jsp?schoolCode=30058
동구여자중학교,서울,dong-guwms.dkyobobook.co.kr,전자도서관,http://dong-guwms.dkyobobook.co.kr
동구여자중학교,서울,schoolbell-e.com,학교종이 학교안내문,https://schoolbell-e.com/ko/main/group/59843/boards/schoolnews
동구여자중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
동구여자중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
동도중학교,서울,dongdo.riroschool.kr,동도ː리로스쿨,https://dongdo.riroschool.kr
동도중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
동도중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
동마중학교,서울,www.ealimi.com,학교 방문 예약 시스템,https://www.ealimi.com//visit/intro/1c1z4e6z2
동마중학교,서울,dongma.yes24library.com,동마중학교도서검색,http://dongma.yes24library.com/
동마중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
동마중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
동성중학교,서울,www.catholicfound.org,학교법인,http://www.catholicfound.org
동성중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
동성중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
동양중학교,서울,www.dongyang.ac.kr,학교법인,https://www.dongyang.ac.kr/dmu/4359/subview.do
동양중학교,서울,mid.ebs.co.kr,EBS,https://mid.ebs.co.kr/main/middle
동양중학교,서울,www.edunet.net,에듀넷,https://www.edunet.net/nedu/main/mainForm.do
