제품명,영문명,공급자,구분,확인여부,등록일
"전자책(구독형, 소장형) 이용",,,public_including_city_province,improvement_requested,2026-06-16
모두출판,,,private_domestic,confirmed,2026-05-28
학급 경영 올인원 웹 앱,homeroom manager,박찬들,other,confirmed,2026-06-16
어피니티버블,AffinityBubble,,private_domestic,confirmed,2026-02-13
스마트 교무실,SMART-SCHOOL,홍창기,other,confirmed,2026-06-15
,SIM-GROUND,,private_domestic,confirmed,2026-02-09
전남메타스쿨,,,public_including_city_province,improvement_requested,2026-01-23
AI수시면접코치,,,private_domestic,confirmed,2026-06-11
,POKORO,,private_domestic,confirmed,2026-04-15
CorelDRAW,CorelDRAW,Corel Corporation,private_foreign,confirmed,2026-06-15
카훗 화이트보드 (Kahoot whiteboard),Kahoot whiteboard,,private_foreign,confirmed,2026-06-15
DaVinci Resolve,DaVinci Resolve,Blackmagic Design Pty Ltd,private_foreign,confirmed,2026-02-23
북적북적,,,private_domestic,confirmed,2026-06-05
직업학과사전,,,private_domestic,confirmed,2026-06-11
이지파이썬 (이지스트),EzPython (ezst),,private_domestic,improvement_requested,2026-06-12
김타자,kimtaja,,private_domestic,confirmed,2026-06-08
리딩레이스,ReadinRace,,private_domestic,confirmed,2026-06-10
천안시 전자도서관,,,public_including_city_province,confirmed,2026-06-12
링스쿨,Linkschool,,private_domestic,confirmed,2026-04-02
대전공공도서관 통합홈페이지,,,public_including_city_province,confirmed,2026-06-12
인천무크,imooc,,public_including_city_province,confirmed,2026-01-23
인천광역시교육청통합전자도서관,,,public_including_city_province,confirmed,2026-06-11
에듀인애스크 원어민 화상영어,에듀인애스크 원어민 화상영어,,private_domestic,confirmed,2026-03-24
,MY Teacher,,private_domestic,confirmed,2026-06-10
전라남도교육청 전자도서관,,,public_including_city_province,confirmed,2026-06-11
이지스트 (ezst.kr),ezst.kr,,ai_digital_educational_materials,improvement_requested,2026-06-11
대구학생전자도서관,,,public_including_city_province,confirmed,2026-06-11
,Proteus Design Suite,,private_foreign,confirmed,2026-03-12
스토리셀프,StorySelf,,private_domestic,improvement_requested,2026-06-10
마음토스,,,private_domestic,confirmed,2026-06-08
Wolfram Mathematica,Wolfram Mathematica,Wolfram Research Inc.,private_foreign,improvement_requested,2026-06-10
,,,private_domestic,confirmed,2026-02-10
훈맹정음 점자 탐험대,Hunmeng Explorer,훈맹정음 점자 탐험대 개발운영팀,other,confirmed,2026-06-10
Vooks,Vooks,"Vooks, Inc.",private_foreign,confirmed,2026-06-08
INFODASH,,,private_domestic,confirmed,2026-06-07
비트브릭 스크래치 SW,bitbrick scratch SW,,private_domestic,confirmed,2026-06-08
리드마크,ReadMark,권기효,other,confirmed,2026-06-09
오늘의 행복,,,ai_digital_educational_materials,improvement_requested,2026-06-09
,Pyxii,,private_domestic,confirmed,2026-01-26
세종특별자치시교육청 통합전자도서관(구독형),,,private_domestic,confirmed,2026-06-08
바이브클래스,Vibe Class,제수연,other,confirmed,2026-06-08
MathsPad,MathsPad,MathsPad Limited,private_foreign,confirmed,2026-05-08
Class2Class.org,Class2Class.org,Class2Class ApS,private_foreign,confirmed,2026-06-08
수행평가·포트폴리오 교사 맞춤 솔루션 하마오,HAMAO,,private_domestic,confirmed,2026-03-10
SMART,,,private_domestic,confirmed,2026-04-21
모모타로,momotaro,김정민,other,confirmed,2026-06-08
중고등한문 학습영상 및 자료,,,private_domestic,improvement_requested,2026-02-24
,,,private_domestic,confirmed,2026-02-27
Agisoft Metashape / 3D모델링 및 드론항공지도(정사영상)제작,Agisoft Metashape / 3D modeling & Drone orthophoto production,,private_foreign,confirmed,2026-03-31
비상교육 도형 길잡이,,,private_domestic,confirmed,2026-06-04
세종북자람전자도서관,,,public_including_city_province,confirmed,2026-06-04
충청남도교육청 통합도서관,,,public_including_city_province,confirmed,2026-06-04
질문의 계단,,임혜진,other,confirmed,2026-06-04
대성마이맥 Player,,,private_domestic,improvement_requested,2026-05-29
이젠교육,Ezen Education,,private_domestic,confirmed,2026-06-04
,ElectionManager 전자선거시스템,,private_domestic,confirmed,2026-05-29
Blender,Blender,Blender Institute BV,private_foreign,improvement_requested,2026-06-04
우리가 만드는 인공지능,AI-class-game,김지형,other,confirmed,2026-06-04
Rodocodo,Rodocodo,Rodocodo Limited,private_foreign,confirmed,2026-06-04
와사비,WASABI,김정민,other,confirmed,2026-06-04
Sketchbook,Sketchbook,"Sketchbook, Inc.",private_foreign,improvement_requested,2026-06-04
별빛로그,,양승근,other,confirmed,2026-06-02
POLL EVERYWHERE SERVICES,POLL EVERYWHERE SERVICES,"POLL EVERYWHERE, INC.",private_foreign,confirmed,2026-06-02
Soundtrap for Education,Soundtrap for Education,Soundtrap AB,private_foreign,improvement_requested,2026-06-02
로보미 학생개별형,Robome Student Individual License,,private_domestic,confirmed,2026-04-16
로보미 학교공용형,Robome School Shared License,,private_domestic,confirmed,2026-04-16
Educaplay,Educaplay,"Create, Play & Learn SL",private_foreign,confirmed,2026-06-02
,,,private_domestic,confirmed,2026-02-12
메타인지플랫폼,metacognition platform,,private_domestic,confirmed,2026-06-01
,,,private_domestic,confirmed,2026-02-10
벨루가,Veluga,,ai_digital_educational_materials,improvement_requested,2026-05-29
,GRAPHYTOON,,private_domestic,confirmed,2026-04-27
용코바코,yongcovaco,박용은,other,confirmed,2026-05-29
AI 탐구 기록 제출,Prompt Log,김대진,other,confirmed,2026-05-29
서울 수학 ON 스페이스,,,public_including_city_province,confirmed,2026-01-23
Edium,,,private_domestic,confirmed,2026-05-28
,CLIPO,,private_domestic,confirmed,2026-01-23
워드클라우드 생성기,wordcloud,,private_domestic,confirmed,2026-05-28
국토정보플랫폼,map.ngii.go.kr,,public_including_city_province,confirmed,2026-04-01
,littly,,private_domestic,confirmed,2026-02-25
우주산업 진로탐험,,우수정,other,confirmed,2026-05-29
로보토리 / 로버스,ROBOTORI / ROBERSE,,private_domestic,confirmed,2026-05-28
"Hey, HECTO",,,private_domestic,confirmed,2026-02-03
OrCAD,OrCAD,,private_foreign,confirmed,2026-05-22
고교학점제 수강신청 프로그램,,,public_including_city_province,confirmed,2026-05-27
한글 또박또박,,,public_including_city_province,confirmed,2026-01-26
,gliit,,private_domestic,confirmed,2026-02-19
R+ENGINEER,,,private_domestic,confirmed,2026-05-27
R+TASK,,,private_domestic,confirmed,2026-05-27
스토리룸,storyroom,,private_domestic,confirmed,2026-05-22
인천e지 앱(인천 스마트관광앱),Incheon Easy,,public_including_city_province,confirmed,2026-05-11
민트영어ㆍ화상영어서비스,Mint English,,private_domestic,confirmed,2026-05-26
AI 스킬 업,AI Skill UP,,private_domestic,confirmed,2026-05-27
,Cho-PT,,private_domestic,confirmed,2026-05-25
오엠알스캔 프로,,,private_domestic,confirmed,2026-05-27
엠타이니 디스커버 키트,mTiny Discover Kit,,private_foreign,improvement_requested,2026-05-27
,,,private_domestic,confirmed,2026-01-23
,MAX AI WORLD,,private_domestic,confirmed,2026-05-20
코코보드,,,private_domestic,confirmed,2026-05-19
,Quest School,,private_domestic,confirmed,2026-01-28
Be log (비로그),,,private_domestic,confirmed,2026-05-21
,MAX AI,,private_domestic,confirmed,2026-05-20
LiveWorksheets,LiveWorksheets,LiveWorksheets,private_foreign,improvement_requested,2026-05-26
Solar Walk,Solar Walk,"Vito Technology, Inc.",private_foreign,improvement_requested,2026-05-26
Meshy AI,Meshy AI,Meshy LLC,private_foreign,improvement_requested,2026-05-26
문수네집,moonsune.zip,이문수,other,confirmed,2026-05-26
,,,private_domestic,confirmed,2026-01-23
,CODLY,,private_domestic,improvement_requested,2026-02-20
,,,private_domestic,confirmed,2026-02-23
살핌,Salpeem,홍창욱(Team DoRm),other,confirmed,2026-05-22
"영웅문S#, 영웅문4",,,private_domestic,confirmed,2026-05-21
