계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE08137967,기술용역,"만정중 2025학년 1,3학년 진로캠프(메타버스 및 챗GPT 활용) 운영 계약",2025-10-16,5000000,경기도교육청 경기도안성교육지원청 만정중학교,만정중학교,7761100,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00965983&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08138131,기술용역,2025학년도 디지털 AI 산학 연계 교육과정 연수 버스 임차 용역,2025-09-29,1100000,경기도교육청 세경고등학교,세경고등학교,7530947,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00970345&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08139394,기술용역,한국삼육고등학교 2025학년도 AIDT 이용 계약(정보),2025-09-22,7200000,서울특별시교육청 한국삼육고등학교,한국삼육고등학교,7010252,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00487554&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08143293,기술용역,2025학년도 1학기 AI 디지털교과서(정보) 서비스공급 용역 계약,2025-10-15,6055000,인천광역시교육청 인천상정고등학교,인천상정고등학교,7310342,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00343941&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08143417,기술용역,2025학년도 1학기 AI 디지털교과서(공통영어1) 서비스공급 용역 계약,2025-10-15,7873500,인천광역시교육청 인천상정고등학교,인천상정고등학교,7310342,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00343230&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08143580,기술용역,2025학년도 1학기 AI디지털교과서(공통수학1) 서비스공급 용역 계약,2025-10-15,6705960,인천광역시교육청 인천상정고등학교,인천상정고등학교,7310342,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00443455&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08144273,기술용역,2025학년도 1학기 인천대건고등학교 AI 디지털교과서 서비스 공급 용역,2025-10-15,22240000,인천광역시교육청 인천대건고등학교,인천대건고등학교,7310068,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00348378&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08147630,기술용역,인천청라초등학교 2025학년도 AI중심학교 미래산업정보축제 체험 프로그램 운영 용역 계약,2025-10-15,17000000,인천광역시교육청 인천광역시서부교육청 인천청라초등학교,인천청라초등학교,7361073,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00971187&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08149238,기술용역,2025학년도 1학기 AI 디지털 교과서(공통영어1) 구독,2025-10-15,6594000,경상남도교육청 창원남산고등학교,창원남산고등학교,9010068,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00551733&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08149571,기술용역,2025학년도 AI디지털교과서 구독 용역 계약,2025-10-15,7873500,경상남도교육청 창원중앙고등학교,창원중앙고등학교,9010071,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00531902&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08149713,기술용역,행복플러스 체험활동 - AI 체험부스 운영,2025-10-16,6000000,울산광역시강남교육청 울산중앙초등학교,울산중앙초등학교,7501062,초등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00971576&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08149910,기술용역,2025학년도 1학기 AI 디지털 교과서(정보) 구독,2025-10-15,3500000,경상남도교육청 창원남산고등학교,창원남산고등학교,9010068,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00552082&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08150759,기술용역,2025학년도 AI 디지털교과서 구됵 용역 계약,2025-10-15,7308000,경상남도교육청 창원중앙고등학교,창원중앙고등학교,9010071,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00531679&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
