회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,새터초등학교,1인수의,물품,디지털선도학교 에듀테크 프로그램 구입(토도수학),2026-05-20,234000,아이티존(주),에듀테크
2026,새터초등학교,1인수의,물품,디지털선도학교 에듀테크 프로그램 구입,2026-05-20,3005100,나이스쿨,에듀테크
2026,단양고등학교,1인수의,물품,AI 디지털 활용 선도학교 미술 교과 수업 연계 에듀테크(manus pro 외) 구독,2026-05-18,5309000,(주)모노플로우,에듀테크
2026,충주중앙초등학교,1인수의,물품,2026학년도 충주시 교육발전특구 학교공모사업 에듀테크(미리캔버스 Edu+),2026-05-18,2000000,미리디,에듀테크
2026,흥덕고등학교,1인수의,물품,교육용 에듀테크 도구 라이센스 구입,2026-05-18,1485000,올댓스쿨 주식회사,에듀테크
2026,진천상업고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크 이용료(젭 스쿨),2026-05-15,120000,아이티존(주),에듀테크
2026,진천상업고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크 이용료(Chat GPT Plus 외 3종),2026-05-14,738000,아이티존(주),에듀테크
2026,증평초등학교,1인수의,물품,[카드] 2026. 디지털 선도학교 운영 에듀테크 추가 구입(스쿨 패들렛),2026-05-13,315000,주식회사 지마켓,에듀테크
2026,충주공업고등학교,1인수의,물품,[원인-S2B] 2026. AI·에듀테크 활용 융합 교사 연구회 SW(Genspark) 구,2026-05-12,1080000,비케이 에듀,에듀테크
2026,진천상신초등학교,1인수의,용역,교육활동 홍보자료 제작을 위한 에듀테크 프로그램(캡컷) 구입,2026-05-08,460000,바이비즈(BY BIZ),에듀테크
2026,죽리초등학교,1인수의,물품,[원인] [S2B] AI중점학교 운영 지원을 위한 AI 에듀테크 라이선스 구입,2026-05-08,1760000,(주)아이젠테크,에듀테크
2026,죽리초등학교,1인수의,물품,[S2B] [원인] AI중점학교 운영 지원을 위한 AI 에듀테크 구입,2026-05-08,4480000,에듀플러스,에듀테크
2026,죽리초등학교,1인수의,물품,[S2B] [원인] AI중점학교 운영 지원을 위한 AI 에듀테크 라이선스 구입,2026-05-08,2152800,테크빌교육(티처몰),에듀테크
2026,초평초등학교,1인수의,물품,[원인] 2026. AI·디지털 활용 선도학교 에듀테크 구입(클로드 외 1종),2026-05-07,4800000,아이티존(주),에듀테크
2026,죽리초등학교,1인수의,물품,[원인] AI중점학교 운영 지원을 위한 AI 에듀테크 라이선스 구입(띵커벨 라이선스),2026-05-07,300000,(주)아이스크림미디어,에듀테크
2026,초평초등학교,1인수의,물품,[원인] 2026. AI·디지털 활용 선도학교 에듀테크 구입(패들랫),2026-05-07,1503000,사자곰,에듀테크
2026,충주공업고등학교,1인수의,물품,[원인-S2B] 2026. AI·에듀테크 활용 융합 교사 연구회 SW( Google Pro,2026-05-07,3989000,비케이 에듀,에듀테크
2026,증평초등학교,1인수의,물품,[카드]2026. 디지털 선도학교 운영 에듀테크 구입(띵커벨 프로),2026-05-06,75000,주식회사 아이스크림미디어,에듀테크
2026,이은학교,1인수의,용역,에듀테크 교육 체험비 지출,2026-05-06,10000000,주식회사 채움플러스,에듀테크
2026,진천상신초등학교,1인수의,용역,2026. 디지털선도학교 운영 에듀테크 구입(자작자작 스쿨 멤버십),2026-05-01,2100000,테크빌교육(주),에듀테크
2026,진천상신초등학교,1인수의,용역,2026. 디지털선도학교 운영 에듀테크 구입(토도한글),2026-05-01,2646000,주식회사 에누마코리아,에듀테크
2026,진천상신초등학교,1인수의,용역,2026. 디지털선도학교 운영 에듀테크 구입(상호작용(패들렛 스쿨버전),2026-05-01,3375000,테크빌교육(주),에듀테크
2026,진천상신초등학교,1인수의,용역,2026. 디지털선도학교 운영 에듀테크 구입(카훗 골드),2026-05-01,1960000,테크빌교육(주),에듀테크
2026,증평초등학교,1인수의,물품,[카드]2026. 디지털 선도학교 운영 에듀테크 구입(교육용 투닝 프로),2026-04-29,1719000,주식회사 페이플,에듀테크
2026,진천상업고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크 이용료(Chat GPT Plus 외 1종),2026-04-29,234000,아이티존(주),에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(마타수학) 구매 계약 체결,2026-04-28,6494400,마타에듀 주식회사,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(제미나이) 구매 계약 체결,2026-04-28,8000000,바오스토어,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(아이스크림스쿨런) 구입,2026-04-28,3500000,주식회사 아이스크림에듀,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(투닝) 구입,2026-04-28,1470000,주식회사 툰스퀘어 (Toonsquare),에듀테크
2026,교동초등학교,1인수의,물품,"[원인]2026년 AI 디지털 활용 선도학교 운영 에듀테크교과용 코스웨어(zep퀴즈,패들렛",2026-04-28,3825000,올댓스쿨 주식회사,에듀테크
2026,성암초등학교,1인수의,물품,AI. 디지털 활용 선도학교 에듀테크 구입(투닝),2026-04-28,1185480,주식회사 툰스퀘어,에듀테크
2026,주덕화곡초등학교,1인수의,물품,[원인-카드] 2026. AI 중점학교 및 질문하는 선도학교 활용 에듀테크 구매,2026-04-28,2500000,주식회사 젭,에듀테크
2026,소수초등학교,1인수의,물품,[원인] 디지털 기반 수업을 위한 에듀테크 사용권 구입,2026-04-28,364000,나이스쿨,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(클로드) 구입,2026-04-27,1110000,에듀포트,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(챗GPT) 구입,2026-04-27,1050000,가애림공간,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(카훗) 구입,2026-04-27,552000,에듀스쿨,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(북크리에이터) 구입,2026-04-27,1470000,테크빌교육(주),에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(패들렛) 구입,2026-04-27,2970000,클라스온 주식회사,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(캔바 외 1종) 구입,2026-04-27,874000,위드스쿨(주),에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(딜라이텍스) 구입,2026-04-27,494000,(주)헬로소프트,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(아트봉봉스쿨 외 1종) 구입,2026-04-27,1323000,(주)아이스크림미디어,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(소중한글) 구입,2026-04-27,320000,주식회사 에이치투케이,에듀테크
2026,서현초등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 코스웨어 및 에듀테크(토토한글) 구입,2026-04-27,540000,나이스쿨,에듀테크
2026,음성고등학교,1인수의,물품,[원인] AI디지털활용선도학교 교육용 에듀테크(젭퀴즈 스쿨플랜) 구입비,2026-04-27,5280000,수피아에듀,에듀테크
2026,양청중학교,1인수의,물품,[원인] 2026. AI·디지털 활용 선도학교 운영 에듀테크 구입,2026-04-27,396000,(주)에듀지원,에듀테크
2026,문상초등학교,1인수의,물품,2026. 디지털 선도학교 에듀테크 도구(패들렛) 구입,2026-04-27,1106000,행복장터,에듀테크
2026,음성고등학교,1인수의,물품,"[원인] AI디지털활용선도학교 교육용 에듀테크(듀오링고, 패들렛) 구입비",2026-04-27,3550000,나이스쿨,에듀테크
2026,음성고등학교,1인수의,물품,[AI디지털활용선도학교] 교육용 에듀테크(스픽 AI) 구입비,2026-04-27,3150000,위드현 에듀테크,에듀테크
2026,음성고등학교,1인수의,물품,[원인] AI디지털활용선도학교 교육용 에듀테크 플랭스쿨 구입비,2026-04-27,3000000,주식회사 플랭,에듀테크
2026,증평초등학교,1인수의,물품,[카드]2026. 디지털 선도학교 운영 에듀테크 구입,2026-04-24,3240000,테크빌교육(주),에듀테크
2026,증평초등학교,1인수의,물품,[원인[2026. 디지털 선도학교 운영 에듀테크 구입(다했니),2026-04-24,792000,에듀지원주식회사,에듀테크
2026,청주혜원학교,1인수의,물품,2026년 학생 대상 에듀테크 교육 운영 물품 구입,2026-04-24,32000,대한에듀(대한교육평가원),에듀테크
2026,소수초등학교,1인수의,물품,[카드원인] 다채움 및 에듀테크 기반 수업을 위한 물품 구입,2026-04-24,522400,11번가 주식회사,에듀테크
2026,봉명고등학교,1인수의,물품,2026. AI 디지털 활용 선도학교 비용 지출(에듀테크 구독료),2026-04-24,2220000,올아이피정보통신 주식회사,에듀테크
