계약번호,계약구분,거래구분,계약명,기관명,공고일,계약일,금액,시도,업체명
S2BA202504080003-A00,입찰(계약),물품,2025학년도 송현여자고등학교 1차 신간 도서 구입 전자 입찰 공고,송현여자고등학교,2025-04-08,2025-07-07,7588360,,제일서점
S2BA202507180001-R00,입찰(계약),물품,[재] 전남여상고 액정태블릿 구입 입찰 공고,전남여자상업고등학교,2025-07-18,2025-07-24,30700000,,프리즘
S2BA202509190001-A00,입찰(계약),물품,경진고등학교 2025년 교육발전특구사업 항공전기전자장비실 실습기자재 구매 소액 수의계약 견적 제출,진주경진고등학교,2025-09-19,2025-10-13,58990000,,(주)새온
S2BA202509300007-A00,입찰(계약),물품,"2026. 수능 대비 마무리 자료집 인쇄,포장,배송(회송불포함) 지명경쟁입찰 공고",경상남도교육청 재정과,2025-10-01,2025-10-17,73945000,,(주)경남신문사
S2BA202509290002-A00,입찰(낙찰),물품,2025학년도 송현여자고등학교 2차 신간 도서 구입 전자 입찰 공고,송현여자고등학교,2025-10-13,2025-10-23,7303640,,베베북
S2BA202512190002-A00,입찰(계약),공사,경진고등학교 근역관(A동) 천장교체석면철거 공사 입찰공고,진주경진고등학교,2025-12-19,2026-02-02,62924000,,일신산업개발(주)
S2BA202604140002-A00,입찰(낙찰),물품,2026학년도 송현여자고등학교 1차 신간 도서 구입 전자 입찰 공고,송현여자고등학교,2026-04-15,2026-04-24,6145500,,경진도서
S2BA202604300001-A00,입찰(낙찰),물품,2026학년도 대구중리초등학교 1차 도서구입 소액수의 견적 제출 안내 공고,대구중리초등학교,2026-05-06,2026-05-14,7198810,,북하우스
S2BA202605070001-A00,입찰(낙찰),물품,2026학년도 제1차 학교도서관 도서구입 소액수의 견적제출 안내 공고,경북여자상업고등학교,2026-05-07,2026-05-18,7510450,,제일시스템
S2BA202604240001-A00,입찰(계약),물품,2026학년도 1학기 대구도림초등학교 도서 구입 전자 입찰 공고,대구도림초등학교,2026-04-24,2026-06-01,4797660,,이노북스
S2BA202608100001-A00,입찰(계약),물품,2026학년도 부산영상예술고 NCS 실험실습 기자재 구입 입찰 공고,부산영상예술고등학교,2026-08-10,2026-08-20,135920000,,(주)광동안전
